time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,25.02399,25.10492
4,25.44672,25.31592
6,25.87369,25.51361
8,26.34268,25.6976
10,26.87024,25.87201
12,27.4361,26.04523
14,27.9805,26.22681
16,28.44193,26.42218
18,28.80148,26.62698
20,29.0773,26.82495
22,29.29562,26.99551
24,29.47629,27.12592
26,29.63092,27.21555
28,29.76538,27.27084
30,29.8822,27.29913
32,29.98254,27.30609
34,30.06732,27.29562
36,30.13757,27.27042
38,30.19498,27.23245
40,30.24167,27.18353
42,30.2803,27.12534
44,30.31375,27.05963
46,30.34439,26.98825
48,30.37305,26.91312
50,30.39856,26.83615
52,30.41766,26.75937
54,30.42593,26.68491
56,30.41949,26.61505
58,30.39606,26.552
60,30.35535,26.49762
62,30.29871,26.45279
64,30.22849,26.41696
66,30.14734,26.388
68,30.05789,26.36246
70,29.96255,26.33664
72,29.86307,26.30713
74,29.76093,26.27167
76,29.6572,26.22922
78,29.55252,26.17963
80,29.44742,26.12338
82,29.34225,26.06125
84,29.23715,25.99405
86,29.13229,25.92258
88,29.0278,25.84738
90,28.92371,25.76904
92,28.8201,25.68784
94,28.71701,25.604
96,28.61444,25.51776
98,28.51242,25.42929
100,28.41086,25.33865
102,28.30975,25.24594
104,28.20908,25.1514
106,28.10876,25.05515
108,28.00879,24.95746
110,27.90912,24.85849
112,27.80981,24.75858
114,27.71097,24.65796
116,27.6127,24.55695
118,27.51523,24.45584
120,27.41885,24.35483
122,27.32391,24.2543
124,27.23087,24.15445
126,27.1402,24.05548
128,27.05246,23.95767
130,26.96823,23.86124
132,26.88812,23.76642
134,26.81284,23.6734
136,26.74292,23.5824
138,26.67908,23.49365
140,26.62183,23.40735
142,26.57181,23.32376
144,26.52942,23.24307
146,26.49515,23.16556
148,26.4693,23.09143
150,26.45215,23.02084
152,26.44391,22.95416
154,26.44461,22.89151
156,26.45432,22.83316
158,26.47287,22.77933
160,26.50018,22.73022
162,26.53592,22.68607
164,26.57977,22.64706
166,26.63129,22.61331
168,26.69,22.58508
170,26.75537,22.56244
172,26.82681,22.54553
174,26.90359,22.53439
176,26.98514,22.52908
178,27.07068,22.52963
180,27.15955,22.53598
182,27.25101,22.5481
184,27.34436,22.5658
186,27.43896,22.58899
188,27.53415,22.61746
190,27.62936,22.65097
192,27.72397,22.6893
194,27.81754,22.73215
196,27.90955,22.77921
198,27.99963,22.83017
200,28.0874,22.88474
