time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,25.61453,25.3479
4,26.24136,25.63608
6,26.65091,25.87109
8,26.98117,26.07684
10,27.35117,26.27637
12,27.83865,26.49384
14,28.43771,26.75171
16,29.06339,27.06268
18,29.63397,27.41891
20,30.12137,27.78812
22,30.5329,28.12814
24,30.88455,28.41193
26,31.18961,28.63663
28,31.45651,28.81314
30,31.69025,28.95361
32,31.89426,29.06668
34,32.07181,29.15741
36,32.22687,29.22882
38,32.36456,29.28323
40,32.49112,29.32297
42,32.61401,29.35071
44,32.74075,29.36954
46,32.87753,29.38284
48,33.02676,29.39432
50,33.18536,29.40778
52,33.34454,29.42703
54,33.49277,29.45612
56,33.61938,29.49918
58,33.71786,29.56
60,33.78683,29.64148
62,33.82907,29.74442
64,33.84995,29.86658
66,33.85568,30.00247
68,33.85239,30.14417
70,33.84521,30.28305
72,33.83823,30.4119
74,33.83429,30.52582
76,33.83521,30.62277
78,33.84198,30.70279
80,33.85507,30.76724
82,33.87439,30.81824
84,33.89966,30.85803
86,33.93045,30.8887
88,33.96619,30.91205
90,34.00635,30.92953
92,34.05029,30.94238
94,34.09744,30.95148
96,34.14722,30.95752
98,34.19907,30.96115
100,34.25241,30.96277
102,34.30673,30.9628
104,34.3616,30.96155
106,34.41663,30.95944
108,34.47153,30.95679
110,34.52612,30.95389
112,34.58041,30.95108
114,34.63458,30.94864
116,34.68893,30.94681
118,34.74399,30.9458
120,34.80054,30.94577
122,34.85947,30.94675
124,34.92191,30.94879
126,34.98904,30.95187
128,35.06232,30.95599
130,35.14307,30.96106
132,35.23276,30.96704
134,35.3327,30.97388
136,35.44421,30.98157
138,35.56836,30.99017
140,35.70612,30.99976
142,35.85815,31.01056
144,36.02493,31.02274
146,36.2067,31.03671
148,36.40341,31.0528
150,36.61487,31.07147
152,36.84052,31.09335
154,37.07974,31.1189
156,37.33173,31.14874
158,37.59546,31.18356
160,37.86981,31.22397
162,38.15366,31.27054
164,38.44565,31.32394
166,38.74451,31.3847
168,39.04892,31.45328
170,39.35745,31.53015
172,39.66885,31.6156
174,39.98178,31.70987
176,40.29498,31.81317
178,40.6073,31.92551
180,40.91763,32.04684
182,41.22495,32.17706
184,41.52832,32.31589
186,41.827,32.4631
188,42.12024,32.61829
190,42.40744,32.78098
192,42.68811,32.95078
194,42.96191,33.12714
196,43.22849,33.30948
198,43.48761,33.49725
200,43.7392,33.68991
