功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,37.18992255447541,405.2424160980827,0.6923711170621145,0.2967678756477673,401.3547027246979,401.3547027246979,406.2315550907926,0.9879948952636023,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,59.519451689040174,436.83378332035795,0.8820341841996973,0.37309169151321087,455.54158596454096,455.54158596454096,438.08890919607086,1.039838207272805,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,2.5626509708964993,539.7250255384797,1.109244619651169,0.4732384505755424,501.8033846590328,501.8033846590328,541.3075086087064,0.9270209200474442,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-11.936787307805135,331.1595741359067,1.0779442696456056,0.46167351528184186,278.69562969245897,278.69562969245897,332.6991919208342,0.8376805127881843,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-3.2690948431398668,144.39514947347234,0.8884201662636961,0.3992699453715613,100.34696982139766,100.34696982139766,145.68283958510762,0.6888043238804058,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,148.96865432814795,402.259401005163,0.7182942425834566,0.3122268028005109,464.1478041814281,464.1478041814281,403.289922050547,1.1509035530108125,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,132.70365700108675,478.7711553473164,1.167527543797041,0.5118970370677288,525.0434647320012,525.0434647320012,480.4505799281812,1.0928147174064935,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,5.148202883685828,769.2742052625226,1.6130876173960271,0.7316602468799747,688.6563838132176,688.6563838132176,771.6189531267986,0.8924824630377529,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-7.278516507193269,630.7359559125692,1.646633568926355,0.7506776347799589,537.7439784118156,537.7439784118156,633.1332671162756,0.8493377403166186,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,-7.068682256327693,549.2251039173079,1.5115560181564862,0.7012644657941529,456.2584699476641,456.2584699476641,551.4379244012586,0.8273976992842148,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,739.1250244069269,405.4182066729491,1.2042098932630148,0.5488351123597285,867.6612560207045,867.6612560207045,739.1250244069269,1.1739032333764035,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,411.0810350860547,656.0368604898825,2.793254627697051,1.5435530058043496,792.8196831446445,792.8196831446445,660.3736681233839,1.200562229256716,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,18.47588907686716,1494.3237285168652,4.237098932264992,2.7322495663422646,1241.1339460275456,1241.1339460275456,1501.2930770154726,0.8267099642495416,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,3.975184331325796,1415.649799551035,4.534154618650029,3.004507725636278,1148.528626161853,1148.528626161853,1423.1884618953213,0.8070109173259513,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,-15.158100318597318,1662.863492730925,3.9271623668024573,2.18027869738894,1375.1778134117249,1375.1778134117249,1668.9709337951163,0.8239675033073658,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,846.453046539444,428.83846923888575,1.3016077420994023,0.606982948720921,968.9653738693366,968.9653738693366,846.453046539444,1.1447361171783361,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,10.0,64,308.23473259981347,458.4358581791768,700.3493174378161,3.07186487736737,1.7783770525125604,855.4006849470595,855.4006849470595,705.1995593676961,1.2129909521129572,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,50.0,64,308.23473259981347,20.495247801509517,1594.539947238893,4.69171506543094,3.224410862219218,1314.7165883682394,1314.7165883682394,1602.4560731665433,0.8204384571804739,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,100.0,64,308.23473259981347,3.9549524535682776,1506.6494099530241,5.016683925643417,3.563112986462526,1210.949426718885,1210.949426718885,1515.2292068651302,0.79918564216712,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,200.0,64,308.23473259981347,7.79957904085773,1819.416421578197,4.3574747392530435,2.5187061075849,1525.8574488660793,1525.8574488660793,1826.292602425035,0.8354945132231143,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,1.0,64,482.23821068035335,1507.1344779080157,425.2558144596361,1.8430248278408592,1.03372294449598,1453.0288294596353,1453.0288294596353,1507.1344779080157,0.9641003180263767,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,10.0,64,482.23821068035335,725.284977218678,801.9564188456512,4.7558285369779965,3.7738220322414753,1053.5328359531954,1053.5328359531954,810.4860694148707,1.299877784097871,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,50.0,64,482.23821068035335,43.89008204879884,2195.6055920718372,7.350704982426965,7.649638562075009,1772.2578069847846,1772.2578069847846,2210.605935616339,0.8017067983175669,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,100.0,64,482.23821068035335,11.900071066303349,2385.4207950746286,7.97343346600584,8.828244838094903,1931.8843337646792,1931.8843337646792,2402.2224733787293,0.8042070853860097,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,200.0,64,482.23821068035335,131.44123284479684,3396.722474586949,8.07028225853943,6.31047267087866,3060.306251680811,3060.306251680811,3411.1032295163673,0.8971602574791344,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,1.0,64,557.5759803108289,1796.4892763480093,362.1842669187621,2.3668522553774047,1.443006152711233,1604.907421364031,1604.907421364031,1796.4892763480093,0.893357640645963,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,10.0,64,557.5759803108289,852.61417323656,769.2410195576723,5.790817300497316,5.445422011901786,1075.5154517958026,1075.5154517958026,852.61417323656,1.2614327623866488,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,50.0,64,557.5759803108289,47.366412491213836,2336.7855333411035,8.882595687776593,11.537001682479122,1846.9955628917442,1846.9955628917442,2357.2051307113593,0.7835531744046206,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,100.0,64,557.5759803108289,9.94093417446435,2690.3966068087366,9.599088215971387,13.45112522611395,2165.8117741144574,2165.8117741144574,2713.446820250822,0.7981773432781915,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,200.0,64,557.5759803108289,132.59552310885425,4260.1296120725565,10.901985444271336,9.968184357906576,3856.0193246727595,3856.0193246727595,4280.999781874734,0.9007286898258454,inner_autodiff_at_R_minus_epsilon,1e-6
