seed,split,power_w,modality,window,lower_s,upper_s,lower_closed,upper_closed,sample_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c,delta_rmse_c,delta_mae_c,delta_signed_bias_c,empty_reason
0,validation,115.2,Top,time_0_30_s,0.0,30.0,true,true,606,3.2321602962142664,3.0024513773398827,-3.0024513773398827,4.762825012207031,5.716522216796875,1.1305910542944246,0.9898566822014232,0.9898566822014232,
0,validation,115.2,Top,time_30_100_s,30.0,100.0,false,true,1313,2.1291373455289135,1.8091026242235102,-0.6011771371322829,3.760156249999999,4.506011962890625,3.618242799066437,3.391130922409023,3.391130922409023,
0,validation,115.2,Top,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
0,validation,403.0,Top,time_0_30_s,0.0,30.0,true,true,606,2.304224650971898,1.7728388317347359,1.2810526932820234,5.1184844970703125,5.799346923828125,3.219950441537439,2.781749158802599,-2.781749158802599,
0,validation,403.0,Top,time_30_100_s,30.0,100.0,false,true,1414,1.2769190839288564,1.0452077514946152,0.04382377366999217,2.2584197998046873,4.528533935546875,4.221999222041772,4.0243610933121605,-4.019871216739108,
0,validation,403.0,Top,time_100_200_s,100.0,200.0,false,true,404,1.2160529977516568,0.9987227539570434,-0.049117549452881965,2.138986206054687,4.14111328125,4.323125340399458,4.115200334569906,-4.115200334569906,
0,validation,630.5,Top,time_0_30_s,0.0,30.0,true,true,606,10.49468174647567,9.27508203235511,9.211241992757351,16.854782104492188,18.85467529296875,4.96069622328376,3.689279059226125,-3.091283579713771,
0,validation,630.5,Top,time_30_100_s,30.0,100.0,false,true,1414,3.7401676495652767,3.2375036248852123,1.109119050158452,6.943310546874999,9.19586181640625,12.253467758654432,11.72161643564947,-11.72161643564947,
0,validation,630.5,Top,time_100_200_s,100.0,200.0,false,true,909,3.654223140257019,2.8128422683982928,-0.6080526037610745,7.7007080078124925,13.8358154296875,13.849310902156505,13.554853531551597,-13.554853531551597,
0,validation,115.2,Hot,time_0_30_s,0.0,30.0,true,true,30,0.8977058155947953,0.8580006917317707,-0.8580006917317707,1.3474243164062498,1.398529052734375,0.2646469462799626,0.21120707194010419,-0.018095906575520827,
0,validation,115.2,Hot,time_30_100_s,30.0,100.0,false,true,70,1.998674844101561,1.9888959612165173,-1.9888959612165173,2.2818756103515625,2.36834716796875,1.1658364853466288,1.148991176060268,-1.148991176060268,
0,validation,115.2,Hot,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
0,validation,403.0,Hot,time_0_30_s,0.0,30.0,true,true,30,0.32364548319943554,0.27597351074218757,0.27597351074218757,0.5983917236328123,0.6290283203125,0.3914495098026787,0.35305480957031254,-0.35305480957031254,
