seed,split,power_w,modality,sample_count,time_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c,delta_rmse_c,delta_mae_c,delta_signed_bias_c,delta_p95_abs_error_c,peak_error_c
0,validation,115.2,Top,1919,19,2.529958361964212,2.185949598891838,-1.3594742656188932,4.328268432617187,5.716522216796875,3.059594651353716,2.632833793922412,2.632833793922412,5.350088500976563,-2.906158447265625
0,validation,403.0,Top,2424,24,1.589013858234132,1.219368031259203,0.33764079893109994,3.0964248657226556,5.799346923828125,4.013103628570178,3.7288479672936314,-3.7262288726575092,5.814390563964843,-0.31744384765625
0,validation,630.5,Top,2929,29,5.803845812733257,4.354866354054469,2.2525050589184246,12.691125488281239,18.85467529296875,11.709039151118162,10.628689128877442,-10.504965923446338,17.11705322265625,0.05096435546875
0,validation,115.2,Hot,100,100,1.7430012943531894,1.649627380371094,-1.649627380371094,2.243641662597656,2.36834716796875,0.9861205297773485,0.8676559448242187,-0.8097225952148437,1.403736877441406,-2.14715576171875
0,validation,403.0,Hot,126,126,0.8121742509955722,0.5977189805772569,0.5977189805772569,1.6598739624023438,1.786834716796875,0.5507624796521278,0.48239741249689977,-0.03130933973524304,1.0308456420898438,1.786834716796875
0,validation,630.5,Hot,150,150,0.5227711946322495,0.4324619547526042,-0.19418029785156246,0.7755020141601557,1.442596435546875,1.0696455177786022,0.9978916422526042,-0.9531829833984375,1.4660537719726563,0.62713623046875
0,validation,115.2,Cold,100,100,0.5823647830249201,0.5370538330078125,-0.5370538330078125,0.8707687377929687,1.00543212890625,0.47589064974417966,0.4240875244140625,-0.4192254638671875,0.7529403686523437,-0.68316650390625
0,validation,403.0,Cold,126,126,0.7447708473247575,0.6082371303013392,0.6082371303013392,1.3327407836914062,1.430755615234375,0.5485856024816034,0.41593376038566454,0.3409031459263392,1.0654067993164062,1.430755615234375
0,validation,630.5,Cold,150,150,0.535165177778969,0.37816650390625,0.140052490234375,1.4149581909179678,1.570770263671875,0.7540521156690386,0.703062744140625,-0.5493701171875001,0.9953369140625,0.3804931640625
1,validation,115.2,Top,1919,19,2.518625986794423,2.15292356808152,-1.375755799071375,4.576068115234374,5.433380126953125,2.463483282317642,2.1578119783863663,2.142452015362412,4.257611083984375,-4.990936279296875
