seed,split,power_w,radial_window,lower_mm,upper_mm,lower_closed,upper_closed,sample_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c
0,validation,115.2,center_0_8_mm,0.0,8.0,true,true,608,3.3875824175194444,3.2324434581555814,-3.2324434581555814,4.762730407714844,5.716522216796875
0,validation,115.2,middle_8_17_mm,8.0,17.0,false,true,684,2.0597822816185016,1.6959782204432794,-1.3803917511164794,3.6868301391601563,4.520599365234375
0,validation,115.2,outer_17_25_mm,17.0,25.0,false,true,627,1.9579630927036145,1.7056819057920904,0.4795573598079893,3.28126220703125,4.175506591796875
0,validation,403.0,center_0_8_mm,0.0,8.0,true,true,768,1.8652388926342358,1.4967024178239623,1.488324960070713,3.12269287109375,5.798553466796875
0,validation,403.0,middle_8_17_mm,8.0,17.0,false,true,864,1.4515539905701034,1.08622410595624,-0.032462958246999546,2.261712646484375,5.799346923828125
0,validation,403.0,outer_17_25_mm,17.0,25.0,false,true,792,1.4317364224325442,1.09390269022173,-0.3803514741002834,3.075743103027343,4.528533935546875
0,validation,630.5,center_0_8_mm,0.0,8.0,true,true,928,6.540247183634911,4.903085011660158,4.882482112786838,16.267620849609376,18.85467529296875
0,validation,630.5,middle_8_17_mm,8.0,17.0,false,true,1044,5.2072379403990405,3.723722449411057,1.664433041206011,10.098983764648434,16.969512939453125
0,validation,630.5,outer_17_25_mm,17.0,25.0,false,true,957,4.951578112621649,4.0291859637814404,-1.6684247019962326,9.161199951171874,13.8358154296875
1,validation,115.2,center_0_8_mm,0.0,8.0,true,true,608,3.569220864745616,3.483522114000822,-3.483522114000822,4.84847412109375,5.433380126953125
1,validation,115.2,middle_8_17_mm,8.0,17.0,false,true,684,1.9505660452335616,1.684182908799913,-1.5709882145039518,3.4183380126953127,4.681243896484375
1,validation,115.2,outer_17_25_mm,17.0,25.0,false,true,627,1.7061641907275136,1.373999636709405,0.8811196261805971,3.325674438476561,4.648590087890625
1,validation,403.0,center_0_8_mm,0.0,8.0,true,true,768,1.5864940649401642,0.9438015433367246,0.6994204847355427,4.272848510742187,5.0931396484375
1,validation,403.0,middle_8_17_mm,8.0,17.0,false,true,864,1.6920981732614657,1.0941406248664227,0.7763730063616339,4.749043273925781,5.0037841796875
1,validation,403.0,outer_17_25_mm,17.0,25.0,false,true,792,1.7900805443594456,1.3231751165126309,0.07783496064090445,4.276368713378905,4.99371337890625
1,validation,630.5,center_0_8_mm,0.0,8.0,true,true,928,5.688062303518532,3.8665922391891674,3.8658710109497716,15.110322570800781,16.853271484375
1,validation,630.5,middle_8_17_mm,8.0,17.0,false,true,1044,6.406719037731899,4.219702705519821,3.7522268981345013,14.51325378417968,17.9739990234375
1,validation,630.5,outer_17_25_mm,17.0,25.0,false,true,957,5.858017667165958,4.1964016980495025,-0.1215408202806183,13.630645751953121,16.6748046875
2,validation,115.2,center_0_8_mm,0.0,8.0,true,true,608,3.006381127311471,2.93865946719521,-2.93865946719521,4.162519836425782,4.255584716796875
2,validation,115.2,middle_8_17_mm,8.0,17.0,false,true,684,1.9387557229773194,1.7078908730668627,-1.6521283869157757,3.1960449218750004,4.00946044921875
2,validation,115.2,outer_17_25_mm,17.0,25.0,false,true,627,1.4315986338710665,1.1442991801236044,0.6426637883771928,2.851998901367187,3.886962890625
2,validation,403.0,center_0_8_mm,0.0,8.0,true,true,768,1.9243952018813797,1.018302814498204,0.8500098060624905,4.783985900878905,6.71636962890625
