time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,25.64554,25.33716
4,26.14279,25.49237
6,26.95862,25.79468
8,27.79742,26.22418
10,28.41504,26.7067
12,28.90619,27.15457
14,29.3833,27.51114
16,29.88446,27.76611
18,30.38321,27.94904
20,30.82211,28.10971
22,31.17087,28.2901
24,31.44489,28.5007
26,31.68091,28.71899
28,31.90991,28.91367
30,32.14359,29.07025
32,32.37482,29.19525
34,32.58856,29.3046
36,32.77301,29.41248
38,32.92432,29.52585
40,33.04507,29.64432
42,33.14105,29.76282
44,33.21854,29.875
46,33.28299,29.97595
48,33.33887,30.06329
50,33.38947,30.13693
52,33.43723,30.19836
54,33.48404,30.24997
56,33.53116,30.29428
58,33.57935,30.33359
60,33.62906,30.36975
62,33.6803,30.40402
64,33.73279,30.43707
66,33.78613,30.46921
68,33.83981,30.50043
70,33.89337,30.53058
72,33.94644,30.55954
74,33.99881,30.58722
76,34.05035,30.61362
78,34.10104,30.63882
80,34.151,30.66299
82,34.20029,30.68631
84,34.24905,30.70901
86,34.29739,30.73126
88,34.34549,30.75333
90,34.39346,30.7753
92,34.44144,30.79733
94,34.48959,30.81949
96,34.53806,30.84177
98,34.58694,30.8642
100,34.63651,30.8866
102,34.68689,30.90887
104,34.73825,30.93079
106,34.79074,30.95203
108,34.84457,30.97229
110,34.89981,30.99121
112,34.9566,31.00842
114,35.01501,31.02347
116,35.07504,31.03598
118,35.13669,31.04556
120,35.19995,31.05182
122,35.26468,31.05444
124,35.33075,31.05307
126,35.39804,31.04745
128,35.4664,31.03738
130,35.53561,31.02264
132,35.6055,31.00314
134,35.67587,30.97873
136,35.74652,30.9494
138,35.81729,30.91513
140,35.88794,30.87589
142,35.95837,30.83176
144,36.02838,30.78281
146,36.0979,30.7291
148,36.16678,30.67075
150,36.23495,30.60794
152,36.30231,30.54077
154,36.3688,30.46942
156,36.43439,30.39407
158,36.49902,30.31494
160,36.56262,30.23227
162,36.62527,30.14621
164,36.68689,30.05707
166,36.74744,29.96515
168,36.80692,29.8707
170,36.86533,29.77405
172,36.92264,29.67551
174,36.97882,29.5755
176,37.03384,29.4743
178,37.08762,29.37238
180,37.14011,29.27005
182,37.19131,29.16776
184,37.24115,29.06592
186,37.28952,28.96484
188,37.33633,28.86499
190,37.38156,28.76672
192,37.42508,28.67035
194,37.46686,28.57623
196,37.50677,28.48471
198,37.5448,28.39606
200,37.5809,28.31049
