种子,数据划分,功率_W,模态,实际观测点数,真实观测时刻数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度,首观测差分RMSE_摄氏度,首观测差分MAE_摄氏度,首观测差分有符号偏差_摄氏度,首观测差分绝对误差95分位_摄氏度,峰值偏差_摄氏度
0,高保真合法验证,115.2,顶部红外,1919,19,1.3702372710419235,1.0591224563065886,-0.28078398274654764,2.9244506835937485,4.343841552734375,2.038462194856911,1.8479186152964595,1.8479186152964595,3.1569122314453115,-3.63214111328125
0,高保真合法验证,403.0,顶部红外,2424,24,2.5647963866408463,1.9800244012272696,1.203846450339793,5.065069580078125,8.385040283203125,5.176855349949054,4.221725604948569,-3.815023303236452,9.54461212158203,0.56207275390625
0,高保真合法验证,630.5,顶部红外,2929,29,7.39583541362784,5.639671876393549,3.0094717038728556,15.415136718749999,28.5567626953125,11.893407077717994,10.357508857069725,-7.9399972744902545,20.115972900390624,3.56719970703125
0,高保真合法验证,115.2,热端环温,100,100,1.830973830813112,1.7407199096679686,-1.7407199096679686,2.2612319946289063,2.286376953125,1.225376421603948,1.0889468383789063,-1.0859042358398436,1.6064163208007813,-2.28314208984375
0,高保真合法验证,403.0,热端环温,126,126,0.6244226504646954,0.5413297622922867,0.5413297622922867,1.03460693359375,1.122344970703125,0.3585018181620811,0.28145466153583826,0.1779264419797867,0.67120361328125,0.90185546875
0,高保真合法验证,630.5,热端环温,150,150,0.8114462236577953,0.7204007975260418,-0.049426676432291594,1.2123092651367187,1.54046630859375,0.8512839239412892,0.7411039225260416,-0.2620731608072917,1.4067245483398436,1.54046630859375
0,高保真合法验证,115.2,冷端环温,100,100,1.0406816799050358,0.9490563964843751,-0.9490563964843751,1.6340423583984374,1.734619140625,0.9136665412274998,0.807760009765625,-0.807760009765625,1.4927459716796874,-1.242401123046875
0,高保真合法验证,403.0,冷端环温,126,126,0.20787154928981155,0.1697499108692956,0.024874732607886904,0.45456695556640625,0.579437255859375,0.21372193253133587,0.1675012982080853,0.05554489862351191,0.48523712158203125,0.28125
0,高保真合法验证,630.5,冷端环温,150,150,0.8686237534565279,0.6984790039062501,-0.6881958007812501,1.3789947509765625,1.38714599609375,0.7479717640646372,0.6087849934895833,-0.52779541015625,1.2185943603515625,-0.530181884765625
1,高保真合法验证,115.2,顶部红外,1919,19,2.063911783924861,1.7058829684751984,-1.2179224154426131,3.4194274902343746,5.932098388671875,3.677573182284656,3.4776904258708146,3.4776904258708146,5.315640258789062,-3.3834228515625
1,高保真合法验证,403.0,顶部红外,2424,24,2.0317319547555583,1.5222308524764905,0.7748971248934433,4.244850158691403,7.634124755859375,2.8182166640183492,2.265760741180489,-0.5917019335607026,5.23067626953125,2.4832763671875
1,高保真合法验证,630.5,顶部红外,2929,29,6.274924015834612,4.504595896833648,2.17945501536439,13.979449462890624,29.01171875,9.026498957721065,7.832843028552346,-6.741878458937331,15.783123779296874,2.9073486328125
1,高保真合法验证,115.2,热端环温,100,100,0.9985947169562365,0.7266616821289064,-0.4647256469726562,2.195143127441406,2.473297119140625,0.9067156308323199,0.7947177124023438,0.20226654052734375,1.5281509399414062,-0.4595947265625
1,高保真合法验证,403.0,热端环温,126,126,0.665267551049678,0.6269245450458829,0.6209314739893352,0.9993438720703125,1.2537841796875,1.0266533910559004,0.9984949505518355,0.9984949505518355,1.3769073486328125,0.968109130859375
1,高保真合法验证,630.5,热端环温,150,150,0.704000932836513,0.5550321451822917,0.24927327473958336,1.2723678588867187,2.38763427734375,0.8872686502644075,0.7301102701822918,-0.5947819010416666,1.848953247070312,2.38763427734375
1,高保真合法验证,115.2,冷端环温,100,100,1.8266001264772238,1.5229623413085935,-1.5229623413085935,3.1139938354492185,3.357818603515625,1.4860360925483098,1.142900695800781,-1.0914437866210938,2.6824752807617185,-1.414276123046875
1,高保真合法验证,403.0,冷端环温,126,126,0.463731692051881,0.3600570436507936,-0.25562153165302576,0.9661026000976562,1.001739501953125,0.5716765993811581,0.4878893655443948,-0.4208436996217758,1.1313247680664062,-0.140899658203125
1,高保真合法验证,630.5,冷端环温,150,150,1.0482318902574592,0.8519362386067708,-0.7488706461588541,1.9406921386718745,1.9884033203125,0.7338235329723893,0.6186029052734375,-0.02267435709635418,1.2604217529296875,-0.545501708984375
2,高保真合法验证,115.2,顶部红外,1919,19,2.3823140062457324,1.8085308860154619,-0.8032147843369348,5.079690551757812,7.337738037109375,5.353268642306128,4.980041821963343,4.980041821963343,7.794512939453124,-3.133056640625
2,高保真合法验证,403.0,顶部红外,2424,24,1.9496724308269904,1.3164684389177455,0.4169695308610643,4.373359680175781,9.870513916015625,3.0074369159766263,2.2815031804511587,1.2412507808862028,6.349967956542968,-0.0999755859375
2,高保真合法验证,630.5,顶部红外,2929,29,6.567062402633233,4.4661739049068325,1.1153109709875575,14.610650634765621,30.2872314453125,9.906400456134948,8.651530993319426,-5.732668240219812,15.780371093749997,0.16998291015625
2,高保真合法验证,115.2,热端环温,100,100,1.4459880144339636,1.3579574584960938,-1.3556649780273438,1.7394821166992187,1.752227783203125,1.5404575728653878,1.4560067749023438,-1.4560067749023438,1.8398239135742187,-1.423187255859375
2,高保真合法验证,403.0,热端环温,126,126,0.7564655170962428,0.5993458581349205,0.5928722563244045,1.4382553100585938,1.964111328125,0.4700914600299862,0.3811287047371031,0.015601748511904759,0.8609848022460938,0.728118896484375
2,高保真合法验证,630.5,热端环温,150,150,1.2061776332146195,0.9522310384114583,-0.232242431640625,2.0113037109375,3.4539794921875,1.7637460764367456,1.5263643391927082,-1.307620849609375,3.034652709960937,3.4539794921875
2,高保真合法验证,115.2,冷端环温,100,100,1.2307507450031028,1.0704006958007812,-1.040862731933594,1.7025497436523438,1.737701416015625,1.5758509207487115,1.4324642944335941,-1.4324642944335941,2.0941513061523436,-1.549102783203125
2,高保真合法验证,403.0,冷端环温,126,126,0.35272793175794637,0.2288174099392361,0.22081986684647817,0.9328231811523438,1.170013427734375,0.31395221390900235,0.18060399615575395,0.15136185903397817,0.8633651733398438,0.118988037109375
2,高保真合法验证,630.5,冷端环温,150,150,0.7746328625049345,0.7184625244140626,-0.45227844238281256,1.0840972900390606,1.475006103515625,0.6637909373925484,0.5815830485026041,-0.2124102783203125,1.3239654541015606,0.249542236328125
3,高保真合法验证,115.2,顶部红外,1919,19,2.929111656597446,2.5530106075857377,-1.9078968996303411,4.5467041015625,5.44061279296875,2.7749479662443908,2.3558103274156053,2.3558103274156053,5.291458129882811,-3.88824462890625
3,高保真合法验证,403.0,顶部红外,2424,24,2.733770964430358,2.045614850653945,1.6856847975122191,5.955033874511718,7.4017333984375,4.769942483670181,4.230894861040662,-3.0514188532431463,7.383493041992187,1.15899658203125
3,高保真合法验证,630.5,顶部红外,2929,29,6.264197323411455,4.666506262621785,3.206512101157016,14.102026367187499,22.6710205078125,11.465487046178435,10.09160268746793,-6.804379739387571,15.756103515625,1.46124267578125
3,高保真合法验证,115.2,热端环温,100,100,2.0746692087339924,2.0200036621093753,-2.0200036621093753,2.755169677734375,2.845245361328125,1.0150571747368224,0.898055419921875,-0.898055419921875,1.6332214355468748,-2.41864013671875
3,高保真合法验证,403.0,热端环温,126,126,0.2659968580061421,0.23264445955791171,0.11762612963479664,0.50274658203125,0.561065673828125,0.6019510721745419,0.5545298258463544,0.5526542058066718,0.937774658203125,0.186492919921875
3,高保真合法验证,630.5,热端环温,150,150,1.094257379107314,0.7500189208984375,-0.5404083251953127,2.429167175292968,2.51959228515625,0.9577795404465901,0.7344228108723959,-0.10946960449218751,2.0344879150390622,2.3525390625
3,高保真合法验证,115.2,冷端环温,100,100,1.1975725682051486,1.0569805908203127,-1.0569805908203127,1.8354873657226562,1.944610595703125,0.9939016373982629,0.834649658203125,-0.8190655517578125,1.5975723266601562,-1.340972900390625
3,高保真合法验证,403.0,冷端环温,126,126,0.5404887463077114,0.4305209205264136,0.3866744268508184,0.8989334106445312,1.047027587890625,0.49938819916184835,0.40065535288008436,0.32676842099144343,0.8390274047851562,0.783477783203125
3,高保真合法验证,630.5,冷端环温,150,150,0.6419501887309991,0.5582478841145835,0.30633260091145836,1.0685333251953124,1.175567626953125,0.5644176916640751,0.4354801432291667,-0.01751993815104167,1.1717056274414062,0.850189208984375
4,高保真合法验证,115.2,顶部红外,1919,19,1.774373529190642,1.4540206805811131,-0.5521173124328262,3.1685455322265623,5.433929443359375,2.6939882706335636,2.4699070121920186,2.4699070121920186,4.1419525146484375,-3.26116943359375
4,高保真合法验证,403.0,顶部红外,2424,24,2.6380330903193188,1.925397195332696,0.914756526041929,5.859332275390625,7.98980712890625,4.564714923927373,3.789318957090006,-2.9282923547393414,8.415879821777342,-0.65771484375
4,高保真合法验证,630.5,顶部红外,2929,29,7.465956076126102,5.5137531926605154,2.9981088785538383,16.59921875,27.3985595703125,11.690078895772416,10.31589757248573,-7.189187607321485,18.3578857421875,-0.609619140625
4,高保真合法验证,115.2,热端环温,100,100,1.361561957555079,1.2798916625976562,-1.2798916625976562,1.9589874267578125,2.07354736328125,1.0736373291151362,0.9679714965820313,-0.9679714965820313,1.6470672607421875,-1.766815185546875
4,高保真合法验证,403.0,热端环温,126,126,0.7671784332951297,0.7051808190724205,0.7051808190724205,1.2304229736328125,1.281768798828125,0.302318722642812,0.23908584836929556,-0.010670011005704366,0.5414810180664062,0.91748046875
4,高保真合法验证,630.5,热端环温,150,150,1.1150791089274679,0.996790974934896,-0.05134826660156255,1.6618545532226554,3.22161865234375,1.3842550445119584,1.174076131184896,-0.8218255615234376,2.1600677490234372,3.22161865234375
4,高保真合法验证,115.2,冷端环温,100,100,1.003199201951356,0.8392153930664064,-0.8329129028320313,1.8370773315429687,2.05255126953125,1.1299256012058978,0.9818692016601562,-0.9818692016601562,1.9860336303710937,-1.172637939453125
4,高保真合法验证,403.0,冷端环温,126,126,0.42000270084478936,0.3321215917193701,0.2338356139167906,0.8666305541992188,0.9429931640625,0.4443546129800412,0.3486543685670883,0.2751869322761657,0.9079818725585938,0.406463623046875
