种子,数据划分,功率_W,模态,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,实际观测点数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度
3,高保真合法验证,630.5,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,1044,6.563172380878195,5.083871952593373,4.902429718308989,13.72084503173828,15.95916748046875
3,高保真合法验证,630.5,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,928,6.608686391554525,5.313639977746725,1.9873168861598722,12.544079589843749,21.6536865234375
4,高保真合法验证,115.2,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,608,2.252006549036243,2.0523801100881474,-2.052041103965357,3.635522460937499,5.433929443359375
4,高保真合法验证,115.2,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,684,1.2864704260281505,0.9957207127621299,0.27962244044967566,2.6310089111328137,3.6597900390625
4,高保真合法验证,115.2,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,608,1.6614674970170193,1.3352883489508378,0.07480586202521067,3.1535812377929684,4.26800537109375
4,高保真合法验证,403.0,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,768,2.1958327416551566,1.551646678549119,1.3525864410993695,5.1368164062499995,5.5240478515625
4,高保真合法验证,403.0,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,864,2.47212611955804,1.754011872342132,0.7240296998518588,6.339260864257812,7.81146240234375
4,高保真合法验证,403.0,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,768,3.0743300629787003,2.416523618628757,0.8513132570939985,6.485369873046875,7.918243408203125
4,高保真合法验证,630.5,顶部红外,顶部中心0—8毫米,0.0,8.0,true,true,928,7.0929394928531515,5.077473421735844,4.264765245334131,17.758198547363282,22.424560546875
4,高保真合法验证,630.5,顶部红外,顶部中圈8—17毫米,8.0,17.0,false,true,1044,7.337869783970476,5.376361943646773,4.420446015140579,16.482696533203125,17.757659912109375
4,高保真合法验证,630.5,顶部红外,顶部外圈17—25毫米,17.0,25.0,false,true,928,7.712872572134107,6.059318619156433,0.13820187376731985,14.339958190917969,26.5101318359375
