种子,数据划分,功率_W,模态,时间窗,窗起秒,窗止秒,窗起含端点,窗止含端点,实际观测点数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度,首观测差分RMSE_摄氏度,首观测差分MAE_摄氏度,首观测差分有符号偏差_摄氏度,空窗原因
0,高保真合法验证,115.2,顶部红外,初期0—30秒,0.0,30.0,true,true,606,1.1880833829667898,0.8733950070422081,-0.26264591028194617,2.6591873168945312,4.343841552734375,2.0945423898641966,1.8660566877610614,1.8660566877610614,
0,高保真合法验证,115.2,顶部红外,中期30—100秒,30.0,100.0,false,true,1313,1.4465928312046545,1.1448428175055336,-0.28915540080713303,2.96478271484375,4.2623291015625,2.0120519059623634,1.8395471972358743,1.8395471972358743,
0,高保真合法验证,115.2,顶部红外,后期100—200秒,100.0,200.0,false,true,0,,,,,,,,,预登记时间窗内无观测，不外推真值
0,高保真合法验证,403.0,顶部红外,初期0—30秒,0.0,30.0,true,true,606,3.874000166284706,3.3165762621183994,3.082520437712717,7.6821136474609375,8.385040283203125,3.7495049447148396,2.799876902363088,-1.949681348139697,
0,高保真合法验证,403.0,顶部红外,中期30—100秒,30.0,100.0,false,true,1414,1.7315009926026568,1.3467920431150404,0.2754372246452312,3.5213256835937496,5.971710205078125,5.904725071026496,5.016578888468416,-4.745644155321915,
0,高保真合法验证,403.0,顶部红外,后期100—200秒,100.0,200.0,false,true,404,2.542426283734341,2.191509743844688,1.6352675940711068,4.677613830566406,7.408111572265625,4.204828689490704,3.5725122848904105,-3.3558634169207613,
0,高保真合法验证,630.5,顶部红外,初期0—30秒,0.0,30.0,true,true,606,12.391181002487476,11.289049854887406,10.21603398122231,19.029861450195312,20.563232421875,6.740598542947712,5.030567611195133,-0.21755637560354668,
0,高保真合法验证,630.5,顶部红外,中期30—100秒,30.0,100.0,false,true,1414,4.3991291926357325,3.4705821366838716,1.3844602808375153,8.599395751953123,13.4237060546875,12.86644212877514,11.826191343636346,-9.642194494209617,
0,高保真合法验证,630.5,顶部红外,后期100—200秒,100.0,200.0,false,true,909,6.6170833041776795,5.247559414300639,0.7328922506595581,12.159692382812487,28.5567626953125,12.961019195353925,11.624185916063727,-10.440429026488637,
0,高保真合法验证,115.2,热端环温,初期0—30秒,0.0,30.0,true,true,30,0.9903075842596423,0.9506327311197917,-0.9506327311197917,1.448492431640625,1.486785888671875,0.40560356673801035,0.30595906575520837,-0.2958170572916667,
0,高保真合法验证,115.2,热端环温,中期30—100秒,30.0,100.0,false,true,70,2.090199045781386,2.0793287004743304,-2.0793287004743304,2.268995666503906,2.286376953125,1.4403338395850742,1.4245130266462054,-1.4245130266462054,
0,高保真合法验证,115.2,热端环温,后期100—200秒,100.0,200.0,false,true,0,,,,,,,,,预登记时间窗内无观测，不外推真值
0,高保真合法验证,403.0,热端环温,初期0—30秒,0.0,30.0,true,true,30,0.9058574929546124,0.8786743164062502,0.8786743164062502,1.090870666503906,1.122344970703125,0.5603690236312767,0.51527099609375,0.51527099609375,
0,高保真合法验证,403.0,热端环温,中期30—100秒,30.0,100.0,false,true,70,0.48229831179885607,0.40078125,0.40078125,0.9305648803710938,0.958251953125,0.270893264663756,0.21573050362723212,0.037377929687500006,
0,高保真合法验证,403.0,热端环温,后期100—200秒,100.0,200.0,false,true,26,0.5625392024746233,0.5304858867938702,0.5304858867938702,0.855621337890625,0.90185546875,0.25090169839064025,0.18861623910757214,0.1670825664813702,
0,高保真合法验证,630.5,热端环温,初期0—30秒,0.0,30.0,true,true,30,0.6588995401099824,0.6041859944661457,0.6041859944661457,0.9407974243164061,1.012664794921875,0.47160478794273847,0.4025868733723958,0.3915395100911458,
