模型组,种子,数据划分,功率_W,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,实际观测点数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度
V4历史B0,3,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,4.582812658720075,2.8657486897599935,1.8927255984438724,13.238021850585938,16.5574951171875
V4历史B0,3,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,5.383072608328118,4.330048144087852,2.9347171608236082,10.885641479492188,12.77142333984375
V4历史B0,3,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,8.408890164711305,6.721430216309953,-3.713778585966753,16.08096923828125,26.27655029296875
V4历史B0,4,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,4.114964852066022,3.8760377482364055,-3.8760377482364055,6.182551574707031,6.650665283203125
V4历史B0,4,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,1.9058340476343016,1.5876541583858734,-1.3865583988658168,3.8688369750976563,4.308837890625
V4历史B0,4,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,1.8842990473344594,1.5315602955065275,0.9593809027420847,3.478250122070312,4.630096435546875
V4历史B0,4,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,1.8451265130196544,1.2279727566407828,1.099599918529048,4.155101013183594,6.285430908203125
V4历史B0,4,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,1.8373378995096832,1.3159618572795437,-0.018811195695485727,4.195707702636712,6.279449462890625
V4历史B0,4,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,2.2795801416741632,1.8655639899946177,0.6496821388830354,4.400276184082031,6.279815673828125
V4历史B0,4,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,5.697075714334143,3.8622320475858096,1.5093717928836496,13.560986328125,19.1624755859375
V4历史B0,4,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,5.238039955084292,3.7099620533711937,1.26872962098209,11.059194946289061,13.6700439453125
V4历史B0,4,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,6.8078557880249955,5.1912419479187415,-1.105034694154845,12.629812622070311,24.164794921875
