模型组,种子,数据划分,功率_W,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,旧表示实际观测点数,闭端点修订实际观测点数,旧表示RMSE_摄氏度,旧表示MAE_摄氏度,旧表示有符号偏差_摄氏度,旧表示绝对误差95分位_摄氏度,旧表示绝对误差最大值_摄氏度,闭端点修订RMSE_摄氏度,闭端点修订MAE_摄氏度,闭端点修订有符号偏差_摄氏度,闭端点修订绝对误差95分位_摄氏度,闭端点修订绝对误差最大值_摄氏度
V4历史B0,0,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,1.7266621042073245,1.4897364064266805,-1.4883272773341127,2.790724182128906,4.63311767578125,1.7266621042073245,1.4897364064266805,-1.4883272773341127,2.790724182128906,4.63311767578125
V4历史B0,0,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,0.8763932870500052,0.5971245124326114,0.17657194081802804,2.3474380493164064,2.9327392578125,0.8763932870500052,0.5971245124326114,0.17657194081802804,2.3474380493164064,2.9327392578125
V4历史B0,0,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.5406143358071112,1.1817248996935392,0.27846200842606394,3.063909912109375,5.981353759765625,1.5663320575647082,1.2034161581377092,0.21366441839239428,3.0643188476562493,6.0736083984375
V4历史B0,0,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,1.6378303533671679,1.3310183950394252,-0.6365454317851488,2.94014892578125,3.809478759765625,1.6378303533671679,1.3310183950394252,-0.6365454317851488,2.94014892578125,3.809478759765625
V4历史B0,0,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,2.5786637764067915,2.128044590392025,-1.3191662277023286,4.828289794921875,5.25738525390625,2.5786637764067915,2.128044590392025,-1.3191662277023286,4.828289794921875,5.25738525390625
V4历史B0,0,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.706057523450076,2.0591283162311376,-0.042273778147123575,5.287884521484373,13.488555908203125,2.862660547845715,2.1555973287778722,-0.20002070577208847,5.844514465332026,13.833648681640625
V4历史B0,0,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,5.666924530013282,4.144053319706894,3.5641227810509175,14.393646240234375,16.9049072265625,5.666924530013282,4.144053319706894,3.5641227810509175,14.393646240234375,16.9049072265625
V4历史B0,0,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,5.6608235967250415,4.4004094865297025,3.3628630843163814,11.845880126953125,14.7523193359375,5.6608235967250415,4.4004094865297025,3.3628630843163814,11.845880126953125,14.7523193359375
V4历史B0,0,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,7.374529551827189,5.632249932839062,-1.0180629937185073,14.056427001953123,27.1116943359375,7.880584034916414,5.979134613303438,-1.6211151383181217,14.887438964843748,27.900390625
V4历史B0,1,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,2.4384589247763144,1.975326939633018,-1.975326939633018,7.050598144531249,7.3162841796875,2.4384589247763144,1.975326939633018,-1.975326939633018,7.050598144531249,7.3162841796875
V4历史B0,1,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,1.9565790186367946,1.410409224660773,-0.9096667194924158,5.143327331542971,7.00323486328125,1.9565790186367946,1.410409224660773,-0.9096667194924158,5.143327331542971,7.00323486328125
V4历史B0,1,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.6218281116261262,1.303169802615517,-0.05612107327109883,3.59249267578125,4.99005126953125,1.6240402039247666,1.308465546968451,-0.08993398858029311,3.59266357421875,4.99005126953125
V4历史B0,1,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,1.8108980781485313,1.5496068095919462,-0.6302768700087096,3.2904937744140623,3.684722900390625,1.8108980781485313,1.5496068095919462,-0.6302768700087096,3.2904937744140623,3.684722900390625
V4历史B0,1,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,1.3595494577218095,1.0755799972536741,-0.31987282689014407,2.6636734008789045,4.115570068359375,1.3595494577218095,1.0755799972536741,-0.31987282689014407,2.6636734008789045,4.115570068359375
V4历史B0,1,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.9179738414129326,2.240590559228188,-1.6221425261842186,6.262008666992187,9.38287353515625,3.1326340225540434,2.377445599232037,-1.7777878186993719,6.863188171386719,9.86651611328125
V4历史B0,1,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,5.083896323446188,3.2367618874246684,2.044414456023878,13.29463195800781,16.16986083984375,5.083896323446188,3.2367618874246684,2.044414456023878,13.29463195800781,16.16986083984375
V4历史B0,1,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,5.57052408252496,3.6128853515677624,2.8434041584701095,13.298611450195311,15.9044189453125,5.57052408252496,3.6128853515677624,2.8434041584701095,13.298611450195311,15.9044189453125
V4历史B0,1,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,7.612315989866261,5.892762726309611,-1.731479881810461,15.028356933593749,26.54803466796875,8.28082278876396,6.379019648620788,-2.4402202187995763,15.534863281249997,27.68035888671875
V4历史B0,2,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,3.438515397183873,3.078492465772127,-3.078492465772127,5.3479064941406245,5.84112548828125,3.438515397183873,3.078492465772127,-3.078492465772127,5.3479064941406245,5.84112548828125
V4历史B0,2,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,1.9603217691658916,1.6167925561380665,-1.5572065386855811,4.045806884765625,4.41839599609375,1.9603217691658916,1.6167925561380665,-1.5572065386855811,4.045806884765625,4.41839599609375
V4历史B0,2,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.3803977819086426,1.0089161019576223,0.08486973611932047,3.2637725830078126,3.94189453125,1.3867491337325728,1.0196632494766746,0.0495224850789972,3.26392822265625,3.94189453125
V4历史B0,2,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,1.8632782667853907,1.1276104693242541,0.28855038147471,2.8225784301757812,7.938720703125,1.8632782667853907,1.1276104693242541,0.28855038147471,2.8225784301757812,7.938720703125
V4历史B0,2,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,2.2645810856399584,1.450119138792855,0.7602282587028253,5.381570434570312,8.360382080078125,2.2645810856399584,1.450119138792855,0.7602282587028253,5.381570434570312,8.360382080078125
V4历史B0,2,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.363635998157052,1.7659586198818653,0.7292480650199101,5.080325317382812,7.320404052734375,2.4449680377561918,1.8316675733966257,0.5917080698817289,5.2962005615234355,7.320404052734375
V4历史B0,2,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,4.7241540459217966,3.2971523512333363,3.1884677484089092,12.67605285644531,19.242462158203125,4.7241540459217966,3.2971523512333363,3.1884677484089092,12.67605285644531,19.242462158203125
V4历史B0,2,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,5.849230901307809,3.809727074012471,3.2912913125325804,14.700662231445305,17.05242919921875,5.849230901307809,3.809727074012471,3.2912913125325804,14.700662231445305,17.05242919921875
V4历史B0,2,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,6.749667760870576,5.056995567370735,0.09107137217207395,13.536637878417965,25.76776123046875,7.183517038555555,5.398367458759777,-0.5104930479080316,13.823480224609362,26.78546142578125
V4历史B0,3,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,1.8540165558053314,1.5970326975772253,-1.5970326975772253,5.155805969238281,5.531890869140625,1.8540165558053314,1.5970326975772253,-1.5970326975772253,5.155805969238281,5.531890869140625
V4历史B0,3,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,1.3673928163278959,0.8922563073230765,-0.31232791476779515,4.421884155273438,5.1365966796875,1.3673928163278959,0.8922563073230765,-0.31232791476779515,4.421884155273438,5.1365966796875
V4历史B0,3,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.7042388619755602,1.279129981994629,0.2600346113506116,4.2744598388671875,5.58203125,1.7159880207782372,1.2915593927556819,0.21404990358976278,4.274505615234375,5.655731201171875
V4历史B0,3,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,2.2402162668429897,1.8279019250656117,1.8279019250656117,5.092518615722656,6.103118896484375,2.2402162668429897,1.8279019250656117,1.8279019250656117,5.092518615722656,6.103118896484375
V4历史B0,3,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,2.29093615473707,1.8316785226043089,1.8316785226043089,5.208198547363276,5.855316162109375,2.29093615473707,1.8316785226043089,1.8316785226043089,5.208198547363276,5.855316162109375
V4历史B0,3,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.7989885653577997,2.295101784619562,0.6570761495477293,5.051150512695312,10.55572509765625,2.9417715434268987,2.3976415676731797,0.464840602456719,5.282644653320308,11.03607177734375
V4历史B0,3,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,4.582812658720075,2.8657486897599935,1.8927255984438724,13.238021850585938,16.5574951171875,4.582812658720075,2.8657486897599935,1.8927255984438724,13.238021850585938,16.5574951171875
V4历史B0,3,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,5.383072608328118,4.330048144087852,2.9347171608236082,10.885641479492188,12.77142333984375,5.383072608328118,4.330048144087852,2.9347171608236082,10.885641479492188,12.77142333984375
V4历史B0,3,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,8.408890164711305,6.721430216309953,-3.713778585966753,16.08096923828125,26.27655029296875,9.221081722633196,7.306271111215215,-4.466213004273053,17.148559570312486,27.34814453125
V4历史B0,4,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,4.114964852066022,3.8760377482364055,-3.8760377482364055,6.182551574707031,6.650665283203125,4.114964852066022,3.8760377482364055,-3.8760377482364055,6.182551574707031,6.650665283203125
V4历史B0,4,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,1.9058340476343016,1.5876541583858734,-1.3865583988658168,3.8688369750976563,4.308837890625,1.9058340476343016,1.5876541583858734,-1.3865583988658168,3.8688369750976563,4.308837890625
V4历史B0,4,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.8842990473344594,1.5315602955065275,0.9593809027420847,3.478250122070312,4.630096435546875,1.8761091958092775,1.522643799606883,0.9269894443250348,3.4785888671874994,4.630096435546875
V4历史B0,4,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,1.8451265130196544,1.2279727566407828,1.099599918529048,4.155101013183594,6.285430908203125,1.8451265130196544,1.2279727566407828,1.099599918529048,4.155101013183594,6.285430908203125
V4历史B0,4,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,1.8373378995096832,1.3159618572795437,-0.018811195695485727,4.195707702636712,6.279449462890625,1.8373378995096832,1.3159618572795437,-0.018811195695485727,4.195707702636712,6.279449462890625
V4历史B0,4,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,768,792,2.2795801416741632,1.8655639899946177,0.6496821388830354,4.400276184082031,6.279815673828125,2.3281987609032875,1.8986800876469334,0.540145538028425,4.463722229003906,6.65966796875
V4历史B0,4,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,928,5.697075714334143,3.8622320475858096,1.5093717928836496,13.560986328125,19.1624755859375,5.697075714334143,3.8622320475858096,1.5093717928836496,13.560986328125,19.1624755859375
V4历史B0,4,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,1044,5.238039955084292,3.7099620533711937,1.26872962098209,11.059194946289061,13.6700439453125,5.238039955084292,3.7099620533711937,1.26872962098209,11.059194946289061,13.6700439453125
V4历史B0,4,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,928,957,6.8078557880249955,5.1912419479187415,-1.105034694154845,12.629812622070311,24.164794921875,7.330474318888583,5.572684235286689,-1.7141701970854695,12.999267578124998,24.94549560546875
任07修复后E0,0,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,608,1.8989137906695512,1.598552804244192,-1.596630899529708,3.6139984130859375,4.343841552734375,1.8989137906695512,1.598552804244192,-1.596630899529708,3.6139984130859375,4.343841552734375
任07修复后E0,0,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,684,0.7727856160105953,0.5849524157786229,-0.06354263930292856,1.6366134643554693,2.3751220703125,0.7727856160105953,0.5849524157786229,-0.06354263930292856,1.6366134643554693,2.3751220703125
任07修复后E0,0,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,608,627,1.2671114045993348,1.0566147252133016,0.7987709045410156,2.4372222900390623,3.219024658203125,1.2642580705369832,1.0533148903976026,0.7581982285592355,2.437384033203125,3.219024658203125
任07修复后E0,0,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,768,2.1117438213574737,1.614243653406704,1.52679485249249,4.194230651855468,6.88348388671875,2.1117438213574737,1.614243653406704,1.52679485249249,4.194230651855468,6.88348388671875
任07修复后E0,0,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,864,2.5327005002543794,1.8750787025092477,0.8964538030119247,6.249716186523428,8.385040283203125,2.5327005002543794,1.8750787025092477,0.8964538030119247,6.249716186523428,8.385040283203125
