LF优化步,训练热流_W_m2,LF训练消费点数,实际LF训练目标
1,20000,512,0.01116513554006815
2,35000,512,0.03274552524089813
3,50000,512,0.0578591525554657
4,65000,512,0.09773065149784088
5,80000,512,0.1553487926721573
6,20000,512,0.0008186526829376817
7,35000,512,0.005975647829473019
8,50000,512,0.018873602151870728
9,65000,512,0.03762297332286835
10,80000,512,0.063005730509758
11,20000,512,0.013763703405857086
12,35000,512,0.007942650467157364
13,50000,512,0.0034192558377981186
14,65000,512,0.005301125813275576
15,80000,512,0.020119035616517067
16,20000,512,0.03695971891283989
17,35000,512,0.02373228408396244
18,50000,512,0.009571261703968048
19,65000,512,0.003941362723708153
20,80000,512,0.01217841450124979
21,20000,512,0.021257538348436356
22,35000,512,0.010538486763834953
23,50000,512,0.003707426367327571
24,65000,512,0.005429098382592201
25,80000,512,0.020653188228607178
26,20000,512,0.004797967616468668
27,35000,512,0.0016105991089716554
28,50000,512,0.0016203869599848986
29,65000,512,0.007006554398685694
30,80000,512,0.019031068310141563
31,20000,512,0.0012004931923002005
32,35000,512,0.0010335457045584917
33,50000,512,0.0020432588644325733
34,65000,512,0.0055229016579687595
35,80000,512,0.01142958365380764
36,20000,512,0.0007644266006536782
37,35000,512,0.0011893819319084287
38,50000,512,0.002473037224262953
39,65000,512,0.004329269751906395
40,80000,512,0.0067421989515423775
41,20000,512,0.0005295717273838818
42,35000,512,0.0012306964490562677
43,50000,512,0.002354174852371216
44,65000,512,0.003073093481361866
45,80000,512,0.003576915943995118
46,20000,512,0.00025804920005612075
47,35000,512,0.0011309839319437742
48,50000,512,0.0016976009355857968
49,65000,512,0.0029772885609418154
50,80000,512,0.0036626083310693502
51,20000,512,0.0010945212561637163
52,35000,512,0.0006682348903268576
53,50000,512,0.0013037719763815403
54,65000,512,0.0018185264198109508
55,80000,512,0.002583616878837347
56,20000,512,0.0014768410474061966
57,35000,512,0.000780937378294766
58,50000,512,0.0010323922615498304
59,65000,512,0.0020420891232788563
60,80000,512,0.0028089177794754505
61,20000,512,0.0009230736177414656
62,35000,512,0.00043476466089487076
63,50000,512,0.0010888619581237435
64,65000,512,0.002854724880307913
65,80000,512,0.0027081447187811136
66,20000,512,0.0005076882662251592
67,35000,512,0.0006010741926729679
68,50000,512,0.0012020716676488519
69,65000,512,0.0019669702742248774
70,80000,512,0.0030299939680844545
71,20000,512,0.000344071420840919
72,35000,512,0.0009028564672917128
73,50000,512,0.0013223583810031414
74,65000,512,0.0021512676030397415
75,80000,512,0.0023196793626993895
76,20000,512,0.000260736676864326
77,35000,512,0.0005048788152635098
78,50000,512,0.0010741815203800797
79,65000,512,0.0021960025187581778
80,80000,512,0.0027363961562514305
81,20000,512,0.0002916828088928014
82,35000,512,0.0004536864871624857
83,50000,512,0.0011993668740615249
84,65000,512,0.002312599215656519
85,80000,512,0.0036919666454195976
86,20000,512,0.00016311561921611428
87,35000,512,0.0005666593788191676
88,50000,512,0.001383756985887885
89,65000,512,0.0018170000985264778
90,80000,512,0.002510286867618561
91,20000,512,0.00021234076120890677
92,35000,512,0.0006434638053178787
93,50000,512,0.0007897798204794526
94,65000,512,0.0017531303456053138
95,80000,512,0.0033049280755221844
96,20000,512,0.00022170513693708926
97,35000,512,0.0005642062751576304
98,50000,512,0.0008847268763929605
99,65000,512,0.0032866615802049637
100,80000,512,0.003494512289762497
101,20000,512,0.0003765482979360968
102,35000,512,0.0006249579018913209
103,50000,512,0.0012340245302766562
104,65000,512,0.0019652696792036295
105,80000,512,0.0020262182224541903
106,20000,512,0.00028596012271009386
107,35000,512,0.0005150835495442152
108,50000,512,0.0008439668454229832
109,65000,512,0.002000002656131983
110,80000,512,0.0019010573159903288
111,20000,512,0.0002635698765516281
112,35000,512,0.0005267097731120884
113,50000,512,0.00046674010809510946
114,65000,512,0.0022633832413703203
115,80000,512,0.002618469065055251
116,20000,512,0.0003100293397437781
117,35000,512,0.0004600677057169378
118,50000,512,0.000819396460428834
119,65000,512,0.001771177165210247
120,80000,512,0.0021042446605861187
121,20000,512,0.0002072593051707372
122,35000,512,0.00016073926235549152
123,50000,512,0.0007390123791992664
124,65000,512,0.0026495016645640135
125,80000,512,0.002781480085104704
126,20000,512,0.00026170394266955554
127,35000,512,0.0008392880554310977
128,50000,512,0.0008314892183989286
129,65000,512,0.0016970629803836346
130,80000,512,0.0041309623047709465
131,20000,512,0.0002155453257728368
132,35000,512,0.0002760999486781657
133,50000,512,0.0007759843138046563
134,65000,512,0.0020761291962116957
135,80000,512,0.001913132844492793
136,20000,512,0.00016549212159588933
137,35000,512,0.0004902950022369623
138,50000,512,0.0008035519858822227
139,65000,512,0.0011627294588834047
140,80000,512,0.002366386353969574
141,20000,512,0.0003147667448502034
142,35000,512,0.0005214831326156855
143,50000,512,0.0006766245351172984
144,65000,512,0.0018615489825606346
145,80000,512,0.0012012412771582603
146,20000,512,0.00025154268951155245
147,35000,512,0.0005077764508314431
148,50000,512,0.0007946446421556175
149,65000,512,0.0013478004839271307
150,80000,512,0.0028106695972383022
151,20000,512,0.00025834041298367083
152,35000,512,0.0004310050862841308
153,50000,512,0.0009006489417515695
154,65000,512,0.0015985140344128013
155,80000,512,0.002690322929993272
156,20000,512,0.00014327251119539142
157,35000,512,0.0006354176439344883
158,50000,512,0.0009038932621479034
159,65000,512,0.0020511012990027666
160,80000,512,0.0046222880482673645
161,20000,512,0.0003354314249008894
162,35000,512,0.00047129200538620353
163,50000,512,0.002012331038713455
164,65000,512,0.0012464842293411493
165,80000,512,0.002889295108616352
166,20000,512,0.0001822196354623884
167,35000,512,0.0003548447566572577
168,50000,512,0.00034782697912305593
169,65000,512,0.001554140355437994
170,80000,512,0.002700913930311799
171,20000,512,0.00012217392213642597
172,35000,512,0.00033059148699976504
173,50000,512,0.0010780163574963808
174,65000,512,0.0018465949688106775
175,80000,512,0.0030946640763431787
176,20000,512,0.00014450118760578334
177,35000,512,0.0004227171011734754
178,50000,512,0.001056204317137599
179,65000,512,0.0009706043638288975
180,80000,512,0.0018684571841731668
181,20000,512,0.00027285065152682364
182,35000,512,0.0008705006330274045
183,50000,512,0.0014153020456433296
184,65000,512,0.0012399135157465935
185,80000,512,0.0016795742558315396
186,20000,512,0.00012872084334958345
187,35000,512,0.0007321745506487787
188,50000,512,0.0013073307927697897
189,65000,512,0.001542209181934595
190,80000,512,0.0022218944504857063
191,20000,512,0.00026512937620282173
192,35000,512,0.0006090868846513331
193,50000,512,0.0005348011618480086
194,65000,512,0.0008640818996354938
195,80000,512,0.0016816571587696671
196,20000,512,0.0002585444017313421
197,35000,512,0.00034727485035546124
198,50000,512,0.0005403275135904551
199,65000,512,0.003042069263756275
200,80000,512,0.003383859060704708
201,20000,512,9.91806955426e-05
202,35000,512,0.0004924084641970694
203,50000,512,0.0014726923545822501
204,65000,512,0.0023952650371938944
205,80000,512,0.0014675729908049107
206,20000,512,0.0002866990980692208
207,35000,512,0.0005756588070653379
208,50000,512,0.0010609725723043084
209,65000,512,0.0014896114589646459
210,80000,512,0.0019450016552582383
211,20000,512,0.00015571083349641412
212,35000,512,0.0004302251327317208
213,50000,512,0.0004240536945872009
214,65000,512,0.002307862974703312
215,80000,512,0.0021479290444403887
216,20000,512,0.0001652402861509472
217,35000,512,0.0003601602802518755
218,50000,512,0.0010652625933289528
219,65000,512,0.001458884566091001
220,80000,512,0.0021483381278812885
221,20000,512,0.000208682642551139
222,35000,512,0.0003898689174093306
223,50000,512,0.0010668125469237566
224,65000,512,0.001595525536686182
225,80000,512,0.001855360111221671
226,20000,512,0.000158871611347422
227,35000,512,0.0004864399670623243
228,50000,512,0.0007428143289871514
229,65000,512,0.0013871195260435343
230,80000,512,0.00232627522200346
231,20000,512,0.0001372093247482553
232,35000,512,0.0004457979812286794
233,50000,512,0.0013373352121561766
234,65000,512,0.0020436947233974934
235,80000,512,0.0010724387830123305
236,20000,512,0.00018226556130684912
237,35000,512,0.0002800691581796855
238,50000,512,0.0013833879493176937
239,65000,512,0.002661333419382572
240,80000,512,0.0011483884882181883
241,20000,512,0.00013396688154898584
242,35000,512,0.0006938822334632277
243,50000,512,0.0008179174037650228
244,65000,512,0.0032560350373387337
245,80000,512,0.003078344278037548
246,20000,512,0.00024495343677699566
247,35000,512,0.00046692058094777167
248,50000,512,0.0010629502357915044
249,65000,512,0.0011882394319400191
250,80000,512,0.0036669864784926176
251,20000,512,0.00013360206503421068
