人为热流_瓦每平方米,时刻_秒,参考顶部温度_摄氏度,同物理粗LF顶部温度_摄氏度,人为失配粗LF顶部温度_摄氏度,参考界面热流_瓦每平方米,参考界面跳温_摄氏度,参考单步热余额_瓦每平方米
50000,1,25.40636648922259,,,7031.569441827335,0.7031569441827533,-3.8562575355172157e-07
50000,2,27.017585521434455,26.450204320000978,26.316495518678664,16098.38958672197,1.609838958672204,-6.893824320286512e-07
50000,5,29.96477409864451,,,33709.682817106026,3.370968281710576,1.048319973051548e-07
50000,10,31.884395425551816,31.4860140493538,30.50586544536918,45202.187253479904,4.520218725347979,3.4182448871433735e-07
50000,50,32.68574016774954,32.68544405698282,31.185746055174775,49999.72838557521,4.999972838557498,-4.0447048377245665e-07
50000,100,32.685785535914476,32.68578552353745,31.185785535960974,49999.99999856662,4.999999999856649,-7.085400284267962e-07
50000,200,32.68578553613355,32.68578553616146,31.18578553616129,49999.999999878106,4.999999999987798,-6.020854925736785e-07
