time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,24.87476,25.24713
4,25.14511,25.30637
6,25.60031,25.44357
8,26.05432,25.64581
10,26.3718,25.87354
12,26.61182,26.08182
14,26.83817,26.24329
16,27.06955,26.35516
18,27.28961,26.43484
20,27.47116,26.50897
22,27.60519,26.59824
24,27.70386,26.70557
26,27.78616,26.81662
28,27.86624,26.91357
30,27.94879,26.98871
32,28.03046,27.04596
34,28.10501,27.09418
36,28.168,27.14081
38,28.2182,27.18945
40,28.25696,27.23944
42,28.28674,27.2879
44,28.31,27.33133
46,28.32886,27.36707
48,28.34494,27.39395
50,28.35941,27.41196
52,28.37308,27.42197
54,28.38657,27.42529
56,28.40021,27.42331
58,28.41422,27.41733
60,28.42871,27.40833
62,28.4436,27.39706
64,28.45871,27.384
66,28.47394,27.36945
68,28.48895,27.35349
70,28.5036,27.33618
72,28.51767,27.31744
74,28.53098,27.29739
76,28.54343,27.27597
78,28.5549,27.2533
80,28.5654,27.2294
82,28.57477,27.20438
84,28.58304,27.17834
86,28.59012,27.15137
88,28.59595,27.1235
90,28.60049,27.09488
92,28.60373,27.06552
94,28.60562,27.03549
96,28.60614,27.00479
98,28.60522,26.97339
100,28.60287,26.94131
102,28.59906,26.90848
104,28.59381,26.87476
106,28.58707,26.84015
108,28.57886,26.80444
110,28.56912,26.76752
112,28.55786,26.72925
114,28.54504,26.68942
116,28.53064,26.64789
118,28.51459,26.60449
120,28.49686,26.55911
122,28.47733,26.51154
124,28.45596,26.46167
126,28.43268,26.40939
128,28.40735,26.35458
130,28.37997,26.29718
132,28.35037,26.23709
134,28.31857,26.17432
136,28.28439,26.10876
138,28.24783,26.04047
140,28.20877,25.96942
142,28.16721,25.89557
144,28.12308,25.81897
146,28.07632,25.73969
148,28.02695,25.65768
150,27.97495,25.57306
152,27.92026,25.48587
154,27.86295,25.39615
156,27.80301,25.30396
158,27.74042,25.20941
160,27.67526,25.11264
162,27.60754,25.01364
164,27.53729,24.91263
166,27.46463,24.80966
168,27.38956,24.7049
170,27.3121,24.59851
172,27.23239,24.49063
174,27.15048,24.38144
176,27.06638,24.27115
178,26.98022,24.15988
180,26.89212,24.04791
182,26.80206,23.93542
184,26.71021,23.82263
186,26.61658,23.70972
188,26.5213,23.59692
190,26.42444,23.48447
192,26.32608,23.37247
194,26.22638,23.2612
196,26.12534,23.15082
198,26.0231,23.04144
200,25.91977,22.93329
