split,power_w,modality,sample_count,time_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c,delta_rmse_c,delta_mae_c,delta_signed_bias_c,delta_p95_abs_error_c,peak_error_c,对照性质
validation,115.2,Top,1919,19,7.793826599528334,6.791824301063175,-0.5602964527474025,12.288497924804688,19.602264404296875,10.543485331279319,10.106104418907144,10.106104418907144,12.783135986328125,9.718658447265625,无HF拟合、仅LF训练支点的确定性FEM顶部基线
validation,403.0,Top,2424,24,22.723188223777402,19.85872668088367,-1.2208495751364765,38.07386779785156,46.56390380859375,14.684153393687176,13.408883743111033,13.408883743111033,23.377862548828123,22.84063720703125,无HF拟合、仅LF训练支点的确定性FEM顶部基线
validation,630.5,Top,2929,29,38.4647673145817,29.84871700088052,-16.454494319797828,75.10968017578125,84.56454467773438,15.301743426968422,11.473276574341702,5.810195309752204,33.198614501953124,4.20703125,无HF拟合、仅LF训练支点的确定性FEM顶部基线
