模型组,种子,数据划分,功率_W,径向窗,径向起毫米,径向止毫米,径向起含端点,径向止含端点,实际观测点数,RMSE_摄氏度,MAE_摄氏度,有符号偏差_摄氏度,绝对误差95分位_摄氏度,绝对误差最大值_摄氏度
V4历史B0,0,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,1.7266621042073245,1.4897364064266805,-1.4883272773341127,2.790724182128906,4.63311767578125
V4历史B0,0,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,0.8763932870500052,0.5971245124326114,0.17657194081802804,2.3474380493164064,2.9327392578125
V4历史B0,0,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,1.5663320575647082,1.2034161581377092,0.21366441839239428,3.0643188476562493,6.0736083984375
V4历史B0,0,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,1.6378303533671679,1.3310183950394252,-0.6365454317851488,2.94014892578125,3.809478759765625
V4历史B0,0,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,2.5786637764067915,2.128044590392025,-1.3191662277023286,4.828289794921875,5.25738525390625
V4历史B0,0,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,792,2.862660547845715,2.1555973287778722,-0.20002070577208847,5.844514465332026,13.833648681640625
V4历史B0,0,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,5.666924530013282,4.144053319706894,3.5641227810509175,14.393646240234375,16.9049072265625
V4历史B0,0,高保真合法验证Top,630.5,顶部中圈8—17毫米,8.0,17.0,false,true,1044,5.6608235967250415,4.4004094865297025,3.3628630843163814,11.845880126953125,14.7523193359375
V4历史B0,0,高保真合法验证Top,630.5,顶部外圈17—25毫米,17.0,25.0,false,true,957,7.880584034916414,5.979134613303438,-1.6211151383181217,14.887438964843748,27.900390625
V4历史B0,1,高保真合法验证Top,115.2,顶部中心0—8毫米,0.0,8.0,true,true,608,2.4384589247763144,1.975326939633018,-1.975326939633018,7.050598144531249,7.3162841796875
V4历史B0,1,高保真合法验证Top,115.2,顶部中圈8—17毫米,8.0,17.0,false,true,684,1.9565790186367946,1.410409224660773,-0.9096667194924158,5.143327331542971,7.00323486328125
V4历史B0,1,高保真合法验证Top,115.2,顶部外圈17—25毫米,17.0,25.0,false,true,627,1.6240402039247666,1.308465546968451,-0.08993398858029311,3.59266357421875,4.99005126953125
V4历史B0,1,高保真合法验证Top,403.0,顶部中心0—8毫米,0.0,8.0,true,true,768,1.8108980781485313,1.5496068095919462,-0.6302768700087096,3.2904937744140623,3.684722900390625
V4历史B0,1,高保真合法验证Top,403.0,顶部中圈8—17毫米,8.0,17.0,false,true,864,1.3595494577218095,1.0755799972536741,-0.31987282689014407,2.6636734008789045,4.115570068359375
V4历史B0,1,高保真合法验证Top,403.0,顶部外圈17—25毫米,17.0,25.0,false,true,792,3.1326340225540434,2.377445599232037,-1.7777878186993719,6.863188171386719,9.86651611328125
V4历史B0,1,高保真合法验证Top,630.5,顶部中心0—8毫米,0.0,8.0,true,true,928,5.083896323446188,3.2367618874246684,2.044414456023878,13.29463195800781,16.16986083984375
