功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,59.17103231212397,690.0669929899011,1.413687807222859,0.5369982386086275,709.1219364272865,709.1219364272865,692.0176790357326,1.0247165035081,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,51.962668280563435,679.0165435946587,1.5819036367564927,0.6100491142235162,691.1043897056321,691.1043897056321,681.2084963456388,1.0145269670197599,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,15.413877719429115,639.0531769410845,1.8096475533746093,0.7125420266367922,614.922469319955,614.922469319955,641.5753665210959,0.9584571063791544,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,-13.372203730201168,488.7007672888399,1.753711163458779,0.6877033387211202,435.70320314024855,435.70320314024855,491.1421817910198,0.8871223431703521,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,-16.033374253354488,269.53593470179806,1.4620604231881538,0.5225065828461443,213.4203525339078,213.4203525339078,271.52050170783235,0.7860192920664134,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,133.1815022757784,742.8354753036723,1.6496856474578023,0.6294177004639208,790.1853087301056,790.1853087301056,745.114578651594,1.060488321353307,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,118.45284593730969,816.4330373896305,2.0341795889868854,0.8099202850104635,849.6192110036707,849.6192110036707,819.2771372636278,1.0370351769382762,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,23.666017019281856,1040.2135183498056,2.514662642533682,1.0537090341345414,979.3371348484889,979.3371348484889,1043.7818900264738,0.9382584083956943,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,-7.466781398053547,952.2576602067323,2.515768319816583,1.065622188627216,860.2614971198559,860.2614971198559,955.8390507151762,0.9000066449222728,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,-12.201445110413356,695.877542454855,2.2834981006402213,0.9353045083087103,598.7841277561238,598.7841277561238,699.0963450638039,0.8565115981281163,inner_autodiff_at_R_minus_epsilon,1e-6
