功率_瓦,时刻_秒,求积阶数,吸收功率_瓦,储能率_瓦,水冷散热_瓦,对流散热_瓦,辐射散热_瓦,平衡_瓦,绝对平衡_瓦,原定义相对平衡分母_瓦,原定义相对平衡,边界梯度模式原标识,外边界内移_米
55.0,1.0,64,42.06677492057008,59.8097956582556,125.13531091404806,0.6927776223471391,0.2979323063267375,143.86904158040747,143.86904158040747,126.12602084272194,1.1406769247070032,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,10.0,64,42.06677492057008,54.554923505301005,240.31025198592636,0.8627924895511099,0.3754019450896659,254.03659500529807,254.03659500529807,241.54844642056713,1.0517003887617122,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,50.0,64,42.06677492057008,-0.6971332540224999,386.6348885684459,1.0128634024899559,0.4558397270245145,345.3396835233678,345.3396835233678,388.1035916979604,0.8898131604824895,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,100.0,64,42.06677492057008,3.5343403070671706,305.09751312505796,1.023740131171851,0.46581707784223964,268.05463572056914,268.05463572056914,306.58707033407205,0.8743181355576538,inner_autodiff_at_R_minus_epsilon,1e-6
55.0,200.0,64,42.06677492057008,72.04384478875231,527.2963740758513,1.950656273917705,0.9054364594508868,560.1295366774021,560.1295366774021,530.15246680922,1.0565442429205365,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,1.0,64,88.1107721972668,137.11778801856568,74.09672346672819,0.7678141159273844,0.3284566799854164,124.20001008393987,124.20001008393987,137.11778801856568,0.9057906481624635,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,10.0,64,88.1107721972668,121.04262666607306,293.81406237533696,1.1570318414555263,0.5099947923191964,328.412943477918,328.412943477918,295.4810890091117,1.1114516484937917,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,50.0,64,88.1107721972668,6.047954886126276,661.7069040189683,1.573910466959905,0.7302825535204827,581.9482797283082,581.9482797283082,664.0110970394487,0.8764134851404973,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,100.0,64,88.1107721972668,3.634830329226734,649.2951476265205,1.6130110940116014,0.76239800816541,567.1946148606575,567.1946148606575,651.6705567286975,0.8703701724808645,inner_autodiff_at_R_minus_epsilon,1e-6
115.2,200.0,64,88.1107721972668,73.1830116419779,889.7553024350381,2.5273270840339634,1.214614229918654,878.5694831937018,878.5694831937018,893.4972437489906,0.9832928857254735,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,1.0,64,278.63502006479416,587.6066071092881,-275.3442193176986,1.3665046490578279,0.6421811364026939,35.6360535122559,35.6360535122559,587.6066071092881,0.06064610758474334,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,10.0,64,278.63502006479416,397.70343001846305,330.3718953324359,2.7134076769751756,1.5010752555619948,453.65478821864195,453.65478821864195,397.70343001846305,1.1406861343830537,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,50.0,64,278.63502006479416,30.451906023324646,1542.8781986063998,4.240491811913719,2.7143277737292864,1301.6499041505733,1301.6499041505733,1549.8330181920428,0.8398646104914016,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,100.0,64,278.63502006479416,-4.179506793133657,1704.1692644197788,4.428925988503147,2.9646689075568506,1428.748332457911,1428.748332457911,1711.5628593158388,0.8347624071657076,inner_autodiff_at_R_minus_epsilon,1e-6
364.3,200.0,64,278.63502006479416,85.03093503666715,2046.1040439125195,5.093757949473142,3.144343709360102,1860.7380605432259,1860.7380605432259,2054.342145571353,0.9057585974928817,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,1.0,64,308.23473259981347,685.6657995371191,-323.56030333809673,1.4862236338681145,0.7142155052320167,56.071202738309125,56.071202738309125,685.6657995371191,0.08177628631348072,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,10.0,64,308.23473259981347,441.0599440002895,319.65827469722933,2.990956585621459,1.7340068301998857,457.20844951352666,457.20844951352666,441.0599440002895,1.0366129496294194,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,50.0,64,308.23473259981347,34.14964078424035,1601.141882022453,4.683946120782766,3.1947115858178474,1334.9354479134806,1334.9354479134806,1609.0205397290538,0.8296571827095962,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,100.0,64,308.23473259981347,-5.454138621567511,1762.1280456112922,4.900518024701983,3.5217011049175166,1456.8613935195308,1456.8613935195308,1770.5502647409119,0.8228297284362702,inner_autodiff_at_R_minus_epsilon,1e-6
403.0,200.0,64,308.23473259981347,88.37712846738643,2162.140880140998,5.537914906421719,3.5981491462491535,1951.4193400612414,1951.4193400612414,2171.2769441936684,0.898742716943428,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,1.0,64,482.23821068035335,1353.7378157388137,-370.6019804885725,2.2522181665537166,1.2887279269668388,504.4385706634083,504.4385706634083,1353.7378157388137,0.372626490003241,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,10.0,64,482.23821068035335,701.5916142507435,293.0863131750593,4.874288451093535,3.888446937372194,521.2024521339151,521.2024521339151,701.5916142507435,0.7428858064253335,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,50.0,64,482.23821068035335,50.429687959554016,1557.3935454409482,7.581676923633559,7.815918254249922,1140.9826178980322,1140.9826178980322,1572.7911406188316,0.7254508169782165,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,100.0,64,482.23821068035335,-8.185334990352656,1816.0047303471883,7.967776181465378,9.084367303313805,1342.6333281612615,1342.6333281612615,1833.0568738319676,0.7324559032118377,inner_autodiff_at_R_minus_epsilon,1e-6
630.5,200.0,64,482.23821068035335,111.7671660689386,2996.390312009494,8.592972166088249,7.9159616728014,2642.428201236969,2642.428201236969,3012.899245848384,0.8770383559550142,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,1.0,64,557.5759803108289,1675.2993355176893,-273.9778562083557,2.37908104700218,1.4890177678260952,847.613597813333,847.613597813333,1675.2993355176893,0.5059475520841231,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,10.0,64,557.5759803108289,847.5848363068094,369.47143228762667,5.702462676086818,5.394254651991952,670.577005611686,670.577005611686,847.5848363068094,0.7911621077762534,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,50.0,64,557.5759803108289,60.689866413404275,1650.206255539545,8.95072731732833,11.348352780861596,1173.6192217403104,1173.6192217403104,1670.505335637735,0.7025534110564619,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,100.0,64,557.5759803108289,1.7335968668291628,1961.3187638110685,9.423195920212384,13.126433543217335,1428.0260098304987,1428.0260098304987,1983.8683932744984,0.7198189228033683,inner_autodiff_at_R_minus_epsilon,1e-6
729.0,200.0,64,557.5759803108289,114.0456809400834,3443.8225441925924,10.173412127114522,11.03931520700901,3021.504972155971,3021.504972155971,3465.0352715267163,0.8719983305753413,inner_autodiff_at_R_minus_epsilon,1e-6
