time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,28.17239,28.0881
4,28.88486,28.4505
6,29.50305,28.79669
8,30.01813,29.13736
10,30.45139,29.4754
12,30.84448,29.80649
14,31.24182,30.12564
16,31.67493,30.43741
18,32.14261,30.75687
20,32.6116,31.09323
22,33.04279,31.43311
24,33.41345,31.74515
26,33.7211,32.00122
28,33.97495,32.19058
30,34.18729,32.31918
32,34.36835,32.40118
34,34.52505,32.45172
36,34.66116,32.48315
38,34.77856,32.50446
40,34.87814,32.52136
42,34.96069,32.53717
44,35.02731,32.55371
46,35.07971,32.57162
48,35.12027,32.59103
50,35.15189,32.61179
52,35.17773,32.63361
54,35.20111,32.65628
56,35.22504,32.67966
58,35.25211,32.7037
60,35.28418,32.72842
62,35.32251,32.75388
64,35.36755,32.78015
66,35.41913,32.80737
68,35.47672,32.83557
70,35.53937,32.86478
72,35.60602,32.89505
74,35.67551,32.92627
76,35.74664,32.9584
78,35.81845,32.99127
80,35.88986,33.02463
82,35.95993,33.05832
84,36.0278,33.09198
86,36.09265,33.12531
88,36.15366,33.15793
90,36.21005,33.18948
92,36.26117,33.2196
94,36.30624,33.24786
96,36.34485,33.27393
98,36.37662,33.29742
100,36.4014,33.31815
102,36.41971,33.33582
104,36.43234,33.35031
106,36.44101,33.36163
108,36.448,33.36981
110,36.45645,33.37503
112,36.47028,33.37756
114,36.49371,33.37793
116,36.53128,33.37668
118,36.58716,33.37463
120,36.66501,33.37274
122,36.76761,33.37207
124,36.89655,33.37372
126,37.05234,33.37872
128,37.23453,33.388
130,37.44189,33.40237
132,37.67261,33.42236
134,37.92459,33.44839
136,38.19553,33.48059
138,38.48331,33.51907
140,38.78577,33.56375
142,39.10107,33.61465
144,39.42746,33.67154
146,39.76361,33.73441
148,40.10812,33.80304
150,40.46002,33.87738
152,40.81848,33.95737
154,41.1828,34.04294
156,41.55246,34.134
158,41.92712,34.23053
160,42.30661,34.33243
162,42.6908,34.43961
164,43.07971,34.552
166,43.47342,34.66943
168,43.87213,34.79172
170,44.27606,34.91864
172,44.68546,35.04987
174,45.10056,35.18503
176,45.52155,35.32373
178,45.9487,35.46548
180,46.38208,35.60974
182,46.82175,35.75595
184,47.26764,35.90356
186,47.71957,36.05188
188,48.17731,36.20035
190,48.64038,36.34845
192,49.10831,36.49561
194,49.58047,36.64133
196,50.05615,36.78531
198,50.53458,36.92712
200,51.01486,37.06662
