LF优化步,训练热流_W_m2,LF训练消费点数,实际LF训练目标
1,20000,512,0.007696863729506731
2,35000,512,0.019207410514354706
3,50000,512,0.04045717790722847
4,65000,512,0.06451360881328583
5,80000,512,0.10087493062019348
6,20000,512,0.0004711067886091769
7,35000,512,0.0038574468344449997
8,50000,512,0.011638035997748375
9,65000,512,0.024152616038918495
10,80000,512,0.04530990868806839
11,20000,512,0.00857403501868248
12,35000,512,0.0061391787603497505
13,50000,512,0.0024851069319993258
14,65000,512,0.002647942863404751
15,80000,512,0.010445933789014816
16,20000,512,0.01991279423236847
17,35000,512,0.015614677220582962
18,50000,512,0.0075158365070819855
19,65000,512,0.003119721543043852
20,80000,512,0.006412865128368139
21,20000,512,0.007123078219592571
22,35000,512,0.004904358647763729
23,50000,512,0.002580242929980159
24,65000,512,0.0022882926277816296
25,80000,512,0.009465012699365616
26,20000,512,0.00048120005521923304
27,35000,512,0.0005485314759425819
28,50000,512,0.0009420179994776845
29,65000,512,0.002366751665249467
30,80000,512,0.007235555909574032
31,20000,512,0.0005073820939287543
32,35000,512,0.0004345316265244037
33,50000,512,0.000894192373380065
34,65000,512,0.0016437317244708538
35,80000,512,0.004074436612427235
36,20000,512,0.0009135139407590032
37,35000,512,0.0002852711477316916
38,50000,512,0.001265179249458015
39,65000,512,0.001368694007396698
40,80000,512,0.0013354233233258128
41,20000,512,0.0010462637292221189
42,35000,512,0.0007731261430308223
43,50000,512,0.001981951529160142
44,65000,512,0.0020075123757123947
45,80000,512,0.002474995329976082
46,20000,512,0.00124804163351655
47,35000,512,0.0005391307640820742
48,50000,512,0.0008170799119397998
49,65000,512,0.0014447435969486833
50,80000,512,0.002279672771692276
51,20000,512,0.0013383503537625074
52,35000,512,0.0005540306447073817
53,50000,512,0.0002206747158197686
54,65000,512,0.0011268772650510073
55,80000,512,0.0017369585111737251
56,20000,512,0.0009449630160816014
57,35000,512,0.0004839461762458086
58,50000,512,0.0007859846809878945
59,65000,512,0.0013581509701907635
60,80000,512,0.002048161346465349
61,20000,512,0.0003510907990857959
62,35000,512,0.0004212519561406225
63,50000,512,0.0014057833468541503
64,65000,512,0.0011372653534635901
65,80000,512,0.0031011151149868965
66,20000,512,0.00026278645964339375
67,35000,512,0.0007659692782908678
68,50000,512,0.0009799327235668898
