HF功率数,观测最佳S_均值_摄氏度,观测最佳S_样本标准差_摄氏度,训练末S_均值_摄氏度,训练末S_样本标准差_摄氏度,best能源安全种子数,final能源安全种子数
3,4.37824635240552,0.35797793090337177,5.616279354980877,0.5184573919355734,0,0
6,2.0031263084341275,0.08074308269510265,2.3828903516249347,0.2207984293446149,0,0
9,2.1269082569040267,0.034646491780418516,2.254728568819086,0.0843374211402781,0,0
