time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,26.90396,27.26733
4,27.51321,27.75635
6,27.97501,28.15369
8,28.36411,28.47903
10,28.76407,28.75629
12,29.24655,29.01163
14,29.81793,29.26956
16,30.40469,29.54715
18,30.92862,29.84592
20,31.3627,30.1481
22,31.71548,30.42612
24,32.00443,30.66055
26,32.24417,30.84872
28,32.44458,30.9982
30,32.61194,31.11792
32,32.75101,31.21439
34,32.8663,31.29169
36,32.96292,31.35217
38,33.04706,31.39777
40,33.12592,31.43039
42,33.20755,31.45224
44,33.30002,31.46606
46,33.40973,31.47501
48,33.53912,31.48251
50,33.68488,31.49222
52,33.8381,31.50809
54,33.98694,31.53418
56,34.12048,31.5748
58,34.23196,31.63406
60,34.31955,31.71515
62,34.38559,31.81918
64,34.43484,31.94424
66,34.47284,32.0849
68,34.50488,32.23306
70,34.5354,32.37991
72,34.5676,32.51755
74,34.60358,32.64059
76,34.64444,32.7464
78,34.69058,32.8345
80,34.74164,32.90604
82,34.79703,32.9628
84,34.8559,33.00693
86,34.9173,33.04041
88,34.98019,33.06503
90,35.04361,33.08231
92,35.10654,33.09344
94,35.16806,33.0994
96,35.22733,33.10095
98,35.28348,33.09885
100,35.33578,33.09357
102,35.38351,33.08578
104,35.42609,33.07599
106,35.46298,33.06479
108,35.4938,33.05292
110,35.51825,33.04095
112,35.53625,33.02972
114,35.54788,33.01993
116,35.5535,33.01242
118,35.5538,33.00793
120,35.54984,33.0072
122,35.54324,33.01099
124,35.53619,33.01993
126,35.53177,33.0347
128,35.53412,33.05579
130,35.54849,33.08377
132,35.58191,33.11917
134,35.64291,33.16269
136,35.74194,33.21512
138,35.89111,33.27771
140,36.10391,33.35226
142,36.39432,33.44122
144,36.77548,33.54785
146,37.25836,33.67599
148,37.84982,33.82965
150,38.55121,34.01233
152,39.35742,34.22629
154,40.25671,34.47177
156,41.23175,34.74683
158,42.26123,35.04739
160,43.3222,35.3678
162,44.39236,35.70172
164,45.45184,36.04282
166,46.48447,36.38535
168,47.47809,36.72458
170,48.42447,37.05682
172,49.31879,37.37943
174,50.15878,37.69067
176,50.94421,37.98959
178,51.67612,38.2757
180,52.35648,38.54901
182,52.98776,38.80981
184,53.57278,39.05847
186,54.11438,39.29562
188,54.61542,39.52179
190,55.0787,39.73767
192,55.50687,39.94388
194,55.90244,40.14102
196,56.26773,40.32968
198,56.60495,40.51038
200,56.91608,40.68365
