运行臂,功率_瓦,材料,时间窗,权重口径,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,验证点数,完整场推理秒
原始LF_B0,90.0,Cu,全时段,节点等权,0.9783694675312722,0.6539524684839806,-0.18258696397941074,2.907318115234375,82921,0.0510105629946338
原始LF_B0,90.0,Cu,全时段,轴对称有限元集总真实体积,0.6231145302537898,0.42439956793024153,0.1550737090077293,2.907318115234375,82921,0.0510105629946338
原始LF_B0,90.0,Cu,"[0,30]秒",节点等权,0.6620207216867,0.5132722657142109,0.11922265260721966,2.44671630859375,13136,0.0510105629946338
原始LF_B0,90.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,0.533161845157199,0.4344822972025648,0.2609495420950012,2.44671630859375,13136,0.0510105629946338
原始LF_B0,90.0,Cu,"(30,100]秒",节点等权,1.0348616744191705,0.688974507207225,-0.23091347825325986,2.907318115234375,28735,0.0510105629946338
原始LF_B0,90.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,0.6332722977628646,0.431166275331298,0.15499607363267737,2.907318115234375,28735,0.0510105629946338
原始LF_B0,90.0,Cu,"(100,200]秒",节点等权,1.021593768171096,0.6744547062640358,-0.24533748129543811,2.882537841796875,41050,0.0510105629946338
原始LF_B0,90.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,0.6423562179984811,0.41643639938235866,0.12124778718233879,2.882537841796875,41050,0.0510105629946338
原始LF_B0,90.0,SiC,全时段,节点等权,3.142138574283326,2.8732140637343626,-2.8630612772443715,7.42974853515625,34138,0.0510105629946338
原始LF_B0,90.0,SiC,全时段,轴对称有限元集总真实体积,2.5729946265694688,2.3496734421311847,-2.341199916971372,7.42974853515625,34138,0.0510105629946338
原始LF_B0,90.0,SiC,"[0,30]秒",节点等权,2.313614342809881,1.9573870608087123,-1.893297596090644,6.061004638671875,5408,0.0510105629946338
原始LF_B0,90.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,1.8668232467136878,1.5579596668104938,-1.504470539239177,6.061004638671875,5408,0.0510105629946338
