种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,径向窗原标识,下界_毫米,上界_毫米,下界闭端点,上界闭端点,实测点数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称,径向窗中文名称
0,best,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,2.3373848582085937,1.9939918016132554,-1.9939625890631425,4.403573608398437,5.654998779296875,2.8525714871047363,2.6535975305657633,2.6535975305657633,3.6826217651367186,3.72369384765625,-2.01812744140625,,顶部,观测最佳,"中心[0,8]毫米"
0,best,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,1.0827849040169866,0.7846860829849689,-0.3884150633337903,2.3114028930664063,3.643829345703125,2.5017711188439824,2.327647694370203,2.327647694370203,3.6829132080078124,4.1845703125,-0.225250244140625,,顶部,观测最佳,"中圈(8,17]毫米"
0,best,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,1.0424153751893677,0.7728637500623007,0.22442987128688194,2.0963317871093725,2.8804931640625,1.9796996524226451,1.7084592974357058,1.695306854004685,3.5014892578125,4.28936767578125,0.0914306640625,,顶部,观测最佳,"外圈(17,25]毫米"
0,best,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,2.5744451991507957,2.3096313619426816,-1.510401695881059,3.973164367675781,4.767913818359375,5.704247428736826,5.3189745219668545,-5.317306488666704,7.486827087402343,8.58935546875,-3.324462890625,,顶部,观测最佳,"中心[0,8]毫米"
0,best,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,3.3364021601276903,2.9209886245507097,-2.50350091095121,5.552896118164062,6.31719970703125,6.173920510596584,5.711909857622523,-5.711909857622523,9.041856384277343,9.817779541015625,-0.8560791015625,,顶部,观测最佳,"中圈(8,17]毫米"
0,best,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,2.6318118654122222,1.9875793945217213,-1.7226466124372135,5.778637695312492,9.512298583984375,1.9674427320408112,1.582752797516266,-1.083144849844769,3.8463928222656247,5.515380859375,-0.99224853515625,,顶部,观测最佳,"外圈(17,25]毫米"
0,best,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,5.992213106707127,3.596861329489161,2.2335218187301034,15.476068115234371,18.013427734375,11.994198100032284,11.08204988411085,-10.624865073879743,15.10079345703125,16.044952392578125,-2.38592529296875,,顶部,观测最佳,"中心[0,8]毫米"
0,best,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,5.0612447958366005,3.548396797870823,1.5237869574325824,11.09446411132812,14.40093994140625,10.626474079339035,9.271946493673372,-8.986625104212273,15.9474853515625,16.624114990234375,-0.30743408203125,,顶部,观测最佳,"中圈(8,17]毫米"
0,best,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,7.163641533769201,4.995935671583178,-3.0227335390153645,14.646679687499999,26.3240966796875,7.362438228462916,6.218296942732415,5.097889846006659,12.869006347656248,14.71636962890625,1.4068603515625,,顶部,观测最佳,"外圈(17,25]毫米"
0,final,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,6.035187302080634,5.931222614489103,-5.931222614489103,10.162928771972656,10.77728271484375,4.651024842111654,4.5193379552740796,4.5193379552740796,5.206385803222656,5.288116455078125,-6.171295166015625,,顶部,训练末,"中心[0,8]毫米"
0,final,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,5.008279402625724,4.817512824521427,-4.817512824521427,9.155490112304689,10.1279296875,5.0100616727508775,4.841136196203399,4.841136196203399,6.242431640625,7.16741943359375,-5.341094970703125,,顶部,训练末,"中圈(8,17]毫米"
0,final,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,4.470374614986881,4.179361297753439,-4.179361297753439,8.825827026367188,9.796966552734375,5.112764656521911,4.883838756993247,4.883838756993247,6.811325073242185,7.5985107421875,-4.416748046875,,顶部,训练末,"外圈(17,25]毫米"
0,final,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,2.033917135154115,1.869861957170075,-1.7436872881736034,3.23883056640625,3.817962646484375,2.8363106218592344,2.6094257273009522,-2.6014791888083693,4.3986267089843745,5.100341796875,-1.87548828125,,顶部,训练末,"中心[0,8]毫米"
0,final,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.68622654015237,2.413582446808906,-2.143748344588148,4.231733703613281,4.4783935546875,4.420597451246548,4.11942490158149,-4.119383840080103,6.322023010253906,6.590423583984375,-2.1939697265625,,顶部,训练末,"中圈(8,17]毫米"
0,final,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,3.936398000759444,2.930733993320093,-2.629429173641631,8.63027801513671,11.49615478515625,2.440693495020826,1.9651540816765678,0.6735761852372282,4.496054077148437,5.602203369140625,-0.182861328125,,顶部,训练末,"外圈(17,25]毫米"
0,final,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,4.8012907138204515,3.915476010440374,2.9688447899763193,9.461624145507812,11.90008544921875,7.23646070098644,6.319289583374047,-6.175453041264577,12.794369506835936,16.3529052734375,2.28033447265625,,顶部,训练末,"中心[0,8]毫米"
0,final,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,4.234875399112103,3.4383401272721015,0.34853476180135395,8.319754028320311,9.08038330078125,8.287907027724387,7.23915614243465,-7.005868974736087,12.899481201171874,16.736846923828125,1.5823974609375,,顶部,训练末,"中圈(8,17]毫米"
0,final,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,9.64228311202126,7.395637214784685,-6.060079895633166,18.44114990234375,31.51165771484375,5.537203912462153,4.333164618556003,2.0927211385717115,10.59633178710937,15.32806396484375,1.0404052734375,,顶部,训练末,"外圈(17,25]毫米"
1,best,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,1.5440676182097954,1.1081547486154657,0.5343456770244398,4.326017761230468,5.2330322265625,5.360157967921911,5.166984608298854,5.166984608298854,6.597285461425781,6.82403564453125,-0.078826904296875,,顶部,观测最佳,"中心[0,8]毫米"
1,best,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,1.5491595906561235,0.8226071631002148,-0.546112997490063,5.331549072265626,6.081268310546875,5.510021122549003,5.316479911581117,5.316479911581117,6.632794189453126,7.792144775390625,-0.277801513671875,,顶部,观测最佳,"中圈(8,17]毫米"
1,best,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,1.9678039660647162,1.3864670651571223,-0.46682398551198667,5.761868286132812,6.944061279296875,5.8755497844311835,5.5701670182758924,5.5701670182758924,7.889520263671871,8.969390869140625,0.2325439453125,,顶部,观测最佳,"外圈(17,25]毫米"
1,best,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,1.4818389886138064,1.083904753812336,0.610145854519477,3.498237609863281,4.3055419921875,3.2804473500417455,3.000375435546682,-2.997204494906793,4.61273193359375,5.275360107421875,1.74884033203125,,顶部,观测最佳,"中心[0,8]毫米"
1,best,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,1.4516137425560536,1.2009218669481196,0.4320575265881817,2.9113143920898397,4.395782470703125,2.9193917824930904,2.363311161166592,0.6813861742575997,5.57335968017578,8.520904541015625,1.0418701171875,,顶部,观测最佳,"中圈(8,17]毫米"
1,best,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,2.965285199611344,2.1318471641682573,-0.6781610424913666,6.053170776367186,13.82061767578125,8.117919739154821,7.760317479763259,7.760317479763259,11.05298309326172,12.38275146484375,3.219879150390625,,顶部,观测最佳,"外圈(17,25]毫米"
1,best,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,4.049225556603623,2.8925364357318823,1.2427580991109894,10.657275390625,14.954193115234375,12.820822810163943,12.209049261643088,-12.209049261643088,16.205276489257812,20.106414794921875,1.6474609375,,顶部,观测最佳,"中心[0,8]毫米"
1,best,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,4.321402351624804,3.6432842820090032,1.4280448805546027,7.942935180664063,10.106689453125,6.8266422405439835,5.556460165078366,-3.3104663313739846,12.398320007324216,14.469451904296875,2.97119140625,,顶部,观测最佳,"中圈(8,17]毫米"
1,best,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,6.635195777682337,5.086812205508146,-2.3304379269474156,11.717248535156244,25.1170654296875,11.936184796437297,10.723833730711616,10.723002303545046,18.191046142578113,23.434814453125,5.84600830078125,,顶部,观测最佳,"外圈(17,25]毫米"
1,final,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,6.833874410190689,6.807737902591102,-6.807737902591102,8.170075988769531,8.43707275390625,1.6602900642531069,1.5449613771940534,1.5449613771940534,2.2770187377929685,2.397857666015625,-7.856964111328125,,顶部,训练末,"中心[0,8]毫米"
1,final,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,4.794277026094134,4.5457418341385685,-4.5457418341385685,6.4524993896484375,8.26031494140625,2.7439390789391673,2.5577398824412922,2.5577398824412922,4.201600646972657,5.43621826171875,-6.231201171875,,顶部,训练末,"中圈(8,17]毫米"
1,final,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,2.172405344250562,1.8183053486655205,-1.633686558481609,4.605059814453124,6.217071533203125,3.6831182985691635,3.421893349484774,3.421893349484774,5.545690917968748,6.591705322265625,-2.25042724609375,,顶部,训练末,"外圈(17,25]毫米"
1,final,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,2.008730602877406,1.3873294887819392,-0.16440957270375478,3.4488983154296875,7.720947265625,8.037411245387108,7.784577304942525,-7.784577304942525,9.166139221191406,9.345458984375,-0.7503662109375,,顶部,训练末,"中心[0,8]毫米"
1,final,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.0068239124395713,1.4464068156819505,-0.43865587497846836,3.5850341796874927,7.456390380859375,7.07565591512697,6.791127253960958,-6.791127253960958,8.88499755859375,9.293792724609375,-0.39349365234375,,顶部,训练末,"中圈(8,17]毫米"
1,final,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,3.0430539452077565,2.26220010178282,-0.9964296165489543,6.3588882446289015,9.4427490234375,5.9748480821312695,5.615290099262007,-5.582350451362053,7.974839782714843,8.8170166015625,0.517791748046875,,顶部,训练末,"外圈(17,25]毫米"
1,final,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,5.003519288316886,3.035868872871667,2.300550640446938,14.661288452148437,18.212249755859375,15.01249116710437,14.324444701860996,-14.324444701860996,18.305494689941405,23.355377197265625,0.27691650390625,,顶部,训练末,"中心[0,8]毫米"
1,final,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,5.547514358137934,4.469742576458954,-0.10233705178341812,10.330831909179684,14.47210693359375,14.325475531096908,13.236757349980508,-13.236757349980508,19.000125122070312,20.4700927734375,-0.9423828125,,顶部,训练末,"中圈(8,17]毫米"
1,final,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,8.96279110731998,7.388581906806442,-5.330552261334326,16.017065429687495,25.5250244140625,11.52096489152565,10.505901648237705,-10.200464001861953,17.318914794921874,19.1048583984375,-1.67510986328125,,顶部,训练末,"外圈(17,25]毫米"
2,best,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,2.7109971257573964,2.542099450763903,-2.542099450763903,5.013772583007812,5.55535888671875,2.9274844828391284,2.775201345744886,2.775201345744886,3.6952606201171876,3.925018310546875,-3.310546875,,顶部,观测最佳,"中心[0,8]毫米"
2,best,validation,115.2,Top,middle_8_17_mm,8.0,17.0,False,True,684,1.6915873960926084,1.3315077664559345,-0.8586451212565103,3.677427673339844,4.957305908203125,3.6185636243042674,3.387670728895399,3.387670728895399,5.192886352539063,5.979827880859375,-2.806884765625,,顶部,观测最佳,"中圈(8,17]毫米"
2,best,validation,115.2,Top,outer_17_25_mm,17.0,25.0,False,True,627,1.8911567253578003,1.564370235948091,0.5104558479272578,3.54359130859375,5.118408203125,4.808262264571931,4.487913530218925,4.487913530218925,6.593685913085937,7.123291015625,-0.229888916015625,,顶部,观测最佳,"外圈(17,25]毫米"
2,best,validation,403.0,Top,center_0_8_mm,0.0,8.0,True,True,768,1.9673899058658422,1.5505907685410678,1.0824266870627703,3.9000473022460933,5.020782470703125,3.583676837006209,3.0540736131659156,-3.004386285959691,6.382164001464843,8.042510986328125,0.543212890625,,顶部,观测最佳,"中心[0,8]毫米"
2,best,validation,403.0,Top,middle_8_17_mm,8.0,17.0,False,True,864,2.583894359064341,2.0211809427842513,-0.33828305841587913,5.054142761230457,7.688690185546875,7.579317264416081,7.155788536013572,-7.155788536013572,10.712718200683591,11.212432861328125,-0.78863525390625,,顶部,观测最佳,"中圈(8,17]毫米"
2,best,validation,403.0,Top,outer_17_25_mm,17.0,25.0,False,True,792,2.9584321173641306,2.4992251910333776,1.263913716701247,5.260905456542969,6.969696044921875,2.544920899661239,1.9559078038241646,-0.5762236265434347,5.164447021484372,7.051788330078125,3.06402587890625,,顶部,观测最佳,"外圈(17,25]毫米"
2,best,validation,630.5,Top,center_0_8_mm,0.0,8.0,True,True,928,6.596953619935435,4.929615355392995,4.183609532372653,16.004647827148435,20.956085205078125,14.5004424485256,13.448899976098183,-13.409133125755245,21.187080383300778,27.218597412109375,0.81866455078125,,顶部,观测最佳,"中心[0,8]毫米"
2,best,validation,630.5,Top,middle_8_17_mm,8.0,17.0,False,True,1044,7.417017340697554,5.169124526521149,4.226211905071348,15.451365661621093,22.0064697265625,17.388040469152408,16.076242257634014,-16.072632613308155,24.28706817626953,28.61700439453125,1.7254638671875,,顶部,观测最佳,"中圈(8,17]毫米"
2,best,validation,630.5,Top,outer_17_25_mm,17.0,25.0,False,True,957,8.767434869711561,6.684847893668287,-2.5991466287814458,15.600732421874975,29.950927734375,7.0994992143661655,5.661209075419975,0.3001271159315346,13.638122558593746,19.42449951171875,4.72503662109375,,顶部,观测最佳,"外圈(17,25]毫米"
2,final,validation,115.2,Top,center_0_8_mm,0.0,8.0,True,True,608,6.4465043525765715,6.370301899157072,-6.370301899157072,9.724571228027344,9.9410400390625,3.630406118644767,3.4943955572027905,3.4943955572027905,4.487551879882813,4.81683349609375,-6.609344482421875,,顶部,训练末,"中心[0,8]毫米"
