HF优化步,训练热流_W_m2,物理配点时刻_s,HF三探针消费点数,实际训练目标,HF可见探针目标,累计体内PDE计算次数,合法两档探针验证RMSE_K
1,20000,1.0,42,0.08389401435852051,0.0007617591763846576,0,
2,35000,1.0,42,0.17182177305221558,0.0024826261214911938,0,
3,50000,1.0,42,0.2947273552417755,0.005211055278778076,0,
4,65000,1.0,42,0.4600884020328522,0.008824697695672512,0,
5,80000,1.0,42,0.666553795337677,0.013931786641478539,0,
6,20000,2.0,42,0.3036055862903595,0.0036015815567225218,0,
7,35000,2.0,42,0.2698993682861328,0.0061634802259504795,0,
8,50000,2.0,42,0.22944031655788422,0.008746011182665825,0,
9,65000,2.0,42,0.2845163643360138,0.011560969054698944,0,
10,80000,2.0,42,0.4809625446796417,0.015984825789928436,0,
11,20000,5.0,42,0.12292592227458954,0.002851626370102167,0,
12,35000,5.0,42,0.1009235829114914,0.005058856215327978,0,
13,50000,5.0,42,0.13978226482868195,0.007760186213999987,0,
14,65000,5.0,42,0.2663973867893219,0.011006482876837254,0,
15,80000,5.0,42,0.47296401858329773,0.015953371301293373,0,
16,20000,10.0,42,0.01933230459690094,0.0019743219017982483,0,
17,35000,10.0,42,0.05181844159960747,0.00438277330249548,0,
18,50000,10.0,42,0.12082718312740326,0.007624114863574505,0,
19,65000,10.0,42,0.2306644171476364,0.011601977981626987,0,
20,80000,10.0,42,0.3771875500679016,0.017445359379053116,0,2.3572006225585938
21,20000,20.0,42,0.012184102088212967,0.0019910712726414204,0,
22,35000,20.0,42,0.04182423651218414,0.004946514964103699,0,
23,50000,20.0,42,0.09273900091648102,0.00904032215476036,0,
24,65000,20.0,42,0.16648191213607788,0.013921400532126427,0,
25,80000,20.0,42,0.2733451724052429,0.020677683874964714,0,
26,20000,30.0,42,0.01382170245051384,0.0022630731109529734,0,
27,35000,30.0,42,0.043255794793367386,0.005691811442375183,0,
28,50000,30.0,42,0.08757378906011581,0.010193136520683765,0,
29,65000,30.0,42,0.14055335521697998,0.015122377313673496,0,
30,80000,30.0,42,0.22290796041488647,0.021536605432629585,0,
31,20000,50.0,42,0.01698898710310459,0.001838838797993958,0,
32,35000,50.0,42,0.032380521297454834,0.004834876861423254,0,
33,50000,50.0,42,0.06325507909059525,0.008931102231144905,0,
34,65000,50.0,42,0.1142740547657013,0.013749628327786922,0,
35,80000,50.0,42,0.19091196358203888,0.020432427525520325,0,
36,20000,75.0,42,0.024473175406455994,0.0016814537812024355,0,
37,35000,75.0,42,0.027873700484633446,0.004928482696413994,0,
38,50000,75.0,42,0.04944698512554169,0.00966634415090084,0,
39,65000,75.0,42,0.08449305593967438,0.01512773334980011,0,
40,80000,75.0,42,0.1384682059288025,0.022010380402207375,0,2.54687762260437
41,20000,100.0,42,0.01585082709789276,0.0018194300355389714,0,
42,35000,100.0,42,0.024187501519918442,0.0050855400040745735,0,
43,50000,100.0,42,0.03803972154855728,0.009402640163898468,0,
44,65000,100.0,42,0.058392904698848724,0.0140307005494833,0,
45,80000,100.0,42,0.10910795629024506,0.0200214721262455,0,
46,20000,125.0,42,0.014989894814789295,0.001545203267596662,0,
47,35000,125.0,42,0.016388699412345886,0.004509595222771168,0,
48,50000,125.0,42,0.024960553273558617,0.008698172867298126,0,
49,65000,125.0,42,0.04111431911587715,0.013438914902508259,0,
50,80000,125.0,42,0.07918664067983627,0.019547155126929283,0,
51,20000,150.0,42,0.008719458244740963,0.0014087206218391657,0,
52,35000,150.0,42,0.012400876730680466,0.004302661400288343,0,
53,50000,150.0,42,0.02257706969976425,0.00838395580649376,0,
54,65000,150.0,42,0.03394212946295738,0.012812884524464607,0,
55,80000,150.0,42,0.07083350419998169,0.018352244049310684,0,
56,20000,175.0,42,0.00901039782911539,0.0011480721877887845,0,
57,35000,175.0,42,0.009776895865797997,0.0036728978157043457,0,
58,50000,175.0,42,0.01763746701180935,0.007516708690673113,0,
59,65000,175.0,42,0.033063407987356186,0.012102906592190266,0,
60,80000,175.0,42,0.0642673447728157,0.018142227083444595,0,2.274228096008301
61,20000,200.0,42,0.006228870712220669,0.0010474252048879862,0,
62,35000,200.0,42,0.010533291846513748,0.003671490354463458,0,
63,50000,200.0,42,0.0222025066614151,0.007741686888039112,0,
64,65000,200.0,42,0.03272141516208649,0.012381531298160553,0,
65,80000,200.0,42,0.062135808169841766,0.01833290420472622,0,
66,20000,1.0,42,0.17730243504047394,0.0009742463007569313,0,
67,35000,1.0,42,0.43501949310302734,0.0032544038258492947,0,
68,50000,1.0,42,0.478214830160141,0.006221827585250139,0,
69,65000,1.0,42,0.2818717658519745,0.00942198559641838,0,
70,80000,1.0,42,0.11217553168535233,0.013483337126672268,0,
71,20000,2.0,42,0.22685524821281433,0.001339032663963735,0,
72,35000,2.0,42,0.33376652002334595,0.00297451950609684,0,
73,50000,2.0,42,0.48613736033439636,0.005626133177429438,0,
74,65000,2.0,42,0.6210757493972778,0.008932771161198616,0,
75,80000,2.0,42,0.64357590675354,0.01283633429557085,0,
76,20000,5.0,42,0.20518305897712708,0.0008477539522573352,0,
77,35000,5.0,42,0.21683649718761444,0.002324998378753662,0,
78,50000,5.0,42,0.19473876059055328,0.005072577856481075,0,
79,65000,5.0,42,0.16866885125637054,0.009034092538058758,0,
80,80000,5.0,42,0.1578889936208725,0.014777421951293945,0,2.0915591716766357
81,20000,10.0,42,0.06509098410606384,0.0008756678435020149,0,
82,35000,10.0,42,0.042510680854320526,0.0032582194544374943,0,
83,50000,10.0,42,0.05326179414987564,0.007391287013888359,0,
84,65000,10.0,42,0.11104164272546768,0.012724943459033966,0,
85,80000,10.0,42,0.19445176422595978,0.01950119063258171,0,
86,20000,20.0,42,0.018744369968771935,0.0014277576701715589,0,
87,35000,20.0,42,0.04160609468817711,0.0044298735447227955,0,
88,50000,20.0,42,0.09369523823261261,0.008524227887392044,0,
89,65000,20.0,42,0.13829030096530914,0.012850436381995678,0,
90,80000,20.0,42,0.16745677590370178,0.017974035814404488,0,
91,20000,30.0,42,0.01659717783331871,0.0014154575765132904,0,
92,35000,30.0,42,0.03144725412130356,0.0037086238153278828,0,
93,50000,30.0,42,0.05077679082751274,0.0066153216175735,0,
94,65000,30.0,42,0.07636971771717072,0.009808526374399662,0,
95,80000,30.0,42,0.12712742388248444,0.014108613133430481,0,
96,20000,50.0,42,0.018351906910538673,0.0011665860656648874,0,
97,35000,50.0,42,0.031237350776791573,0.002986167324706912,0,
98,50000,50.0,42,0.05390837788581848,0.005522779654711485,0,
99,65000,50.0,42,0.09668296575546265,0.00863808672875166,0,
100,80000,50.0,42,0.16040068864822388,0.013069930486381054,0,1.9718703031539917
101,20000,75.0,42,0.012069372460246086,0.0011504045687615871,0,
102,35000,75.0,42,0.020803026854991913,0.003100197995081544,0,
103,50000,75.0,42,0.03503228351473808,0.006004161201417446,0,
104,65000,75.0,42,0.05985308438539505,0.009650873020291328,0,
105,80000,75.0,42,0.09599312394857407,0.014753961935639381,0,
106,20000,100.0,42,0.007981906644999981,0.0014327861135825515,0,
107,35000,100.0,42,0.017640462145209312,0.003958552610129118,0,
108,50000,100.0,42,0.03131590038537979,0.007549133617430925,0,
109,65000,100.0,42,0.04269540682435036,0.011683193035423756,0,
110,80000,100.0,42,0.05999045446515083,0.016955960541963577,0,
111,20000,125.0,42,0.011506699956953526,0.0015514912083745003,0,
112,35000,125.0,42,0.01881599798798561,0.004119106102734804,0,
113,50000,125.0,42,0.024504031985998154,0.00752030685544014,0,
114,65000,125.0,42,0.03171553462743759,0.01126488670706749,0,
115,80000,125.0,42,0.05811908096075058,0.01607595570385456,0,
116,20000,150.0,42,0.004403139464557171,0.0012231948785483837,0,
117,35000,150.0,42,0.008066453039646149,0.0034657043870538473,0,
118,50000,150.0,42,0.016752827912569046,0.006677013356238604,0,
119,65000,150.0,42,0.03602197766304016,0.010506263002753258,0,
120,80000,150.0,42,0.06564895063638687,0.01568407192826271,0,2.1522042751312256
121,20000,175.0,42,0.0053427983075380325,0.001103203627280891,0,
122,35000,175.0,42,0.00861225463449955,0.003449365496635437,0,
123,50000,175.0,42,0.015448199585080147,0.007130959536880255,0,
124,65000,175.0,42,0.025768790394067764,0.011661906726658344,0,
125,80000,175.0,42,0.04307340830564499,0.0176067091524601,0,
126,20000,200.0,42,0.007015320472419262,0.001166298519819975,0,
127,35000,200.0,42,0.0114979837089777,0.0037662493996322155,0,
128,50000,200.0,42,0.019566118717193604,0.007803222630172968,0,
129,65000,200.0,42,0.029556915163993835,0.012615554966032505,0,
130,80000,200.0,42,0.0490778312087059,0.018763694912195206,0,
131,20000,1.0,42,0.09624087810516357,0.0011898959055542946,0,
132,35000,1.0,42,0.31646233797073364,0.0037538516335189342,0,
133,50000,1.0,42,0.5232961177825928,0.007277393713593483,0,
134,65000,1.0,42,0.5290641188621521,0.010808130726218224,0,
135,80000,1.0,42,0.34305351972579956,0.014714357443153858,0,
136,20000,2.0,42,0.024367058649659157,0.0009516035206615925,0,
137,35000,2.0,42,0.033940818160772324,0.002109931316226721,0,
138,50000,2.0,42,0.07249756157398224,0.004090575501322746,0,
139,65000,2.0,42,0.16025280952453613,0.006794532295316458,0,
140,80000,2.0,42,0.2918652892112732,0.010495197959244251,0,1.7332385778427124
141,20000,5.0,42,0.08711595833301544,0.0012331134639680386,0,
142,35000,5.0,42,0.13658122718334198,0.002181690651923418,0,
143,50000,5.0,42,0.2069990038871765,0.004046539310365915,0,
144,65000,5.0,42,0.30202415585517883,0.006815205328166485,0,
145,80000,5.0,42,0.39412376284599304,0.010770275257527828,0,
146,20000,10.0,42,0.07232600450515747,0.0009840421844273806,0,
147,35000,10.0,42,0.1033615991473198,0.002140364609658718,0,
148,50000,10.0,42,0.1326821744441986,0.004452054388821125,0,
149,65000,10.0,42,0.16630227863788605,0.00786349643021822,0,
150,80000,10.0,42,0.19893625378608704,0.012779663316905499,0,
151,20000,20.0,42,0.036657098680734634,0.0008563654846511781,0,
152,35000,20.0,42,0.038812875747680664,0.0027395973447710276,0,
153,50000,20.0,42,0.04411192983388901,0.006075930316001177,0,
154,65000,20.0,42,0.05979972332715988,0.01049965713173151,0,
155,80000,20.0,42,0.08879534900188446,0.01632782258093357,0,
156,20000,30.0,42,0.010827798396348953,0.0011898414231836796,0,
157,35000,30.0,42,0.023398352786898613,0.0038968785665929317,0,
158,50000,30.0,42,0.05179079622030258,0.00786510668694973,0,
159,65000,30.0,42,0.08129382133483887,0.012344826012849808,0,
160,80000,30.0,42,0.10668544471263885,0.017616381868720055,0,2.255584239959717
161,20000,50.0,42,0.010273694060742855,0.0013190454337745905,0,
162,35000,50.0,42,0.026942480355501175,0.003812577808275819,0,
163,50000,50.0,42,0.04332895576953888,0.00704764062538743,0,
164,65000,50.0,42,0.052361708134412766,0.010501731187105179,0,
165,80000,50.0,42,0.0692208856344223,0.014710452407598495,0,
166,20000,75.0,42,0.005922253709286451,0.000973457470536232,0,
167,35000,75.0,42,0.011560473591089249,0.0028107359539717436,0,
168,50000,75.0,42,0.022648358717560768,0.005368294660001993,0,
169,65000,75.0,42,0.04787490516901016,0.008394921198487282,0,
170,80000,75.0,42,0.09354271739721298,0.0123739680275321,0,
171,20000,100.0,42,0.006246850825846195,0.0008101154817268252,0,
172,35000,100.0,42,0.012073948979377747,0.0023953772615641356,0,
173,50000,100.0,42,0.02485380321741104,0.004858332686126232,0,
174,65000,100.0,42,0.048634935170412064,0.007986490614712238,0,
175,80000,100.0,42,0.07990197837352753,0.012235820293426514,0,
176,20000,125.0,42,0.0045692203566432,0.0008404839318245649,0,
177,35000,125.0,42,0.007817843928933144,0.0025657876394689083,0,
178,50000,125.0,42,0.015557203441858292,0.005359078757464886,0,
179,65000,125.0,42,0.02649027854204178,0.008920511230826378,0,
180,80000,125.0,42,0.0420355424284935,0.013723242096602917,0,2.003295421600342
181,20000,150.0,42,0.004508309997618198,0.0009519369341433048,0,
182,35000,150.0,42,0.010060439817607403,0.0029772776179015636,0,
183,50000,150.0,42,0.01895601861178875,0.006123031955212355,0,
184,65000,150.0,42,0.02645733579993248,0.0099401343613863,0,
185,80000,150.0,42,0.03875359147787094,0.014902248978614807,0,
186,20000,175.0,42,0.005514850374311209,0.0010028560645878315,0,
187,35000,175.0,42,0.008917709812521935,0.0031426839996129274,0,
188,50000,175.0,42,0.015533902682363987,0.006386002525687218,0,
189,65000,175.0,42,0.028262540698051453,0.010307755321264267,0,
190,80000,175.0,42,0.051608458161354065,0.015531734563410282,0,
191,20000,200.0,42,0.009475135244429111,0.0010635595535859466,0,
192,35000,200.0,42,0.01377142034471035,0.0035044699907302856,0,
193,50000,200.0,42,0.020788680762052536,0.007284293882548809,0,
194,65000,200.0,42,0.03240984305739403,0.0119257727637887,0,
195,80000,200.0,42,0.05154121294617653,0.01811111345887184,0,
196,20000,1.0,42,0.07699234783649445,0.001322178402915597,0,
197,35000,1.0,42,0.23918740451335907,0.004289314150810242,0,
198,50000,1.0,42,0.40175050497055054,0.008371623232960701,0,
199,65000,1.0,42,0.4441564381122589,0.012595620937645435,0,
200,80000,1.0,42,0.33808350563049316,0.017292801290750504,0,2.0596699714660645
201,20000,2.0,42,0.005886804778128862,0.0008013942278921604,0,
202,35000,2.0,42,0.014392043463885784,0.0024763382971286774,0,
203,50000,2.0,42,0.02963132970035076,0.004939006641507149,0,
204,65000,2.0,42,0.06740779429674149,0.007959039881825447,0,
205,80000,2.0,42,0.14240074157714844,0.012094324454665184,0,
206,20000,5.0,42,0.04325063154101372,0.0007808487280271947,0,
207,35000,5.0,42,0.0724983662366867,0.0020605139434337616,0,
208,50000,5.0,42,0.12085378915071487,0.004269329831004143,0,
209,65000,5.0,42,0.19208334386348724,0.007268489804118872,0,
210,80000,5.0,42,0.2687450349330902,0.011489340104162693,0,
211,20000,10.0,42,0.0487343855202198,0.0007877041934989393,0,
212,35000,10.0,42,0.07150603830814362,0.0020834049209952354,0,
213,50000,10.0,42,0.09450904279947281,0.004437685012817383,0,
214,65000,10.0,42,0.12138800323009491,0.007723569869995117,0,
215,80000,10.0,42,0.14770834147930145,0.012420671992003918,0,
216,20000,20.0,42,0.029072027653455734,0.0007437570602633059,0,
217,35000,20.0,42,0.029223371297121048,0.002327429363504052,0,
218,50000,20.0,42,0.032058048993349075,0.005174837540835142,0,
219,65000,20.0,42,0.043954893946647644,0.009035296738147736,0,
220,80000,20.0,42,0.06623321026563644,0.014335504733026028,0,2.0141353607177734
221,20000,30.0,42,0.008615541271865368,0.0008073507924564183,0,
222,35000,30.0,42,0.013950923457741737,0.0028195183258503675,0,
223,50000,30.0,42,0.03551963344216347,0.006097008939832449,0,
224,65000,30.0,42,0.062336377799510956,0.010149916633963585,0,
225,80000,30.0,42,0.08469618856906891,0.01529650017619133,0,
226,20000,50.0,42,0.004934919998049736,0.00088296621106565,0,
227,35000,50.0,42,0.01646384969353676,0.0029068479780107737,0,
228,50000,50.0,42,0.03357106074690819,0.0059000723995268345,0,
229,65000,50.0,42,0.04512564092874527,0.009405645541846752,0,
230,80000,50.0,42,0.056320056319236755,0.013859065249562263,0,
231,20000,75.0,42,0.00411828700453043,0.0008258796879090369,0,
232,35000,75.0,42,0.009214824065566063,0.0025434703566133976,0,
233,50000,75.0,42,0.018528824672102928,0.005113918799906969,0,
234,65000,75.0,42,0.03464824706315994,0.008254601620137691,0,
235,80000,75.0,42,0.06403966248035431,0.012455741874873638,0,
236,20000,100.0,42,0.005039391107857227,0.0007965393597260118,0,
237,35000,100.0,42,0.009374198503792286,0.002388061722740531,0,
238,50000,100.0,42,0.01888725534081459,0.0049097780138254166,0,
239,65000,100.0,42,0.03634526580572128,0.008137570694088936,0,
240,80000,100.0,42,0.06206885725259781,0.012567996047437191,0,1.8985041379928589
241,20000,125.0,42,0.004128135275095701,0.0008312478312291205,0,
242,35000,125.0,42,0.007333863526582718,0.002580199856311083,0,
243,50000,125.0,42,0.014664765447378159,0.0054075815714895725,0,
244,65000,125.0,42,0.02509753592312336,0.00902673602104187,0,
245,80000,125.0,42,0.04016983509063721,0.013916697353124619,0,
246,20000,150.0,42,0.0037872176617383957,0.0009224269306287169,0,
