方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,非观测时窗,非探针内部厚度加权RMSE_K
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.3728240586284916
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.1783808067673576
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.8203474724482327
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.40479615775214606
F2,2,lf_same_physics_coarse,20000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",0.628945981176666
F2,2,lf_same_physics_coarse,20000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.3291634912952277
F2,2,lf_same_physics_coarse,20000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.11123350395160135
F3,2,lf_same_physics_coarse,20000,train,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.4379398051723342
F3,2,lf_same_physics_coarse,20000,train,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.8560696474801728
F3,2,lf_same_physics_coarse,20000,train,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.38412787449915925
F2,3,lf_same_physics_coarse,20000,train,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.290359954454337
F2,3,lf_same_physics_coarse,20000,train,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",1.0665960487112873
