方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,双材料厚度加权RMSE_K,SiC厚度加权RMSE_K,Cu厚度加权RMSE_K,非探针附近内部RMSE_K,非探针附近真实单元数,七时七深细网格差_K,仅七时七深差若近模型全域RMSE须限缩结论,七时刻名义余额均值绝对差_W,七时刻名义余额最坏绝对差_W,真CUDA完整单元网络前向_秒
F3,4,lf_same_physics_coarse,20000,train,ebe76fffb4c4d5dbd95c1dd0a53cac1646dc50cca0f85b39be73fb93750d185d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.5632404027041227,0.5362527661085242,0.6180454965250266,0.5562256353160822,240,0.0390133151689156,false,25.602756908961705,50.0095100402832,0.08479838399216533
F2,0,lf_contact_mismatch_coarse,20000,train,cb2e149fdb282417a9a4c24c8347ebcbae36bb470b5fef0ad55fe81e48ca34ef,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.6125168228308319,0.7245569015377049,0.21983571411296104,0.6364761413281629,240,0.0390133151689156,false,26.09216853550502,40.33293914794922,0.08548879600130022
F3,0,lf_contact_mismatch_coarse,20000,train,97c3424f03a224c8d1c22779f0fd586745bc3992dd5fdeee8ee64120a86078c3,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.7211272582114746,0.8695575336561318,0.06989016358851415,0.7616242504232366,240,0.0390133151689156,false,27.377519607543945,31.52113914489746,0.0846295109950006
F2,1,lf_contact_mismatch_coarse,20000,train,217697d41127dec7ae2b31b369d4488e2c4de424e96fe2dec66512eb446ad92f,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.7593060187813293,0.9056111801915417,0.2123330195287829,0.7973261174071896,240,0.0390133151689156,false,46.25160871233259,51.9863166809082,0.08586451000883244
F3,1,lf_contact_mismatch_coarse,20000,train,cfcf416e44092f5c7ca961bedfc5f1178f3ca5aa28ac12c181cb23b6167f13fd,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.7203111034905192,0.8550430584625744,0.2361270535518233,0.7544238634448435,240,0.0390133151689156,false,28.529681069510325,32.357547760009766,0.08456490698154084
F2,2,lf_contact_mismatch_coarse,20000,train,704d134e5f08ed6b1e4a2ce32c40b16d568b0577b75458b0eda2d472b27d7470,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.8671254097627261,1.0418443757328328,0.15555583360642342,0.9120547014415804,240,0.0390133151689156,false,27.556155068533762,43.812416076660156,0.08518408000236377
F3,2,lf_contact_mismatch_coarse,20000,train,1d127b21115dd6a8aa55b0d33961c1f5ddbb2657fbc8de8e7e5316018588fb50,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.7099125057738429,0.8561714109657927,0.06497843416341163,0.7454099799426029,240,0.0390133151689156,false,27.42326899937221,34.375030517578125,0.08445157200912945
F2,3,lf_contact_mismatch_coarse,20000,train,9580e9402e9033de437a9fef5736022ab0265523fd4433c75aeef63aae678ce1,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.6630969407139633,0.7967878891692292,0.1177484914419743,0.6978245705948958,240,0.0390133151689156,false,43.29110336303711,51.47239303588867,0.08485550299519673
F3,3,lf_contact_mismatch_coarse,20000,train,9e9e147c794364ed1fe8c8e9e7fa7c556b23be00f84a2e74b91b092dad2a9f61,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.5808254927870166,0.69921563518529,0.08195273016317188,0.6103439190274306,240,0.0390133151689156,false,23.25128664289202,24.97313690185547,0.084532538021449
F2,4,lf_contact_mismatch_coarse,20000,train,516e74212b4ac9205a0e7cd4d31ba660ba7b7c9698f661e5694d6b00c0a02ae9,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.5732042725975881,0.3940027537577258,0.840670390229588,0.5269731718279266,240,0.0390133151689156,false,27.10961968558175,37.180362701416016,0.08558824201463722
F3,4,lf_contact_mismatch_coarse,20000,train,e6d9e27e14673cfb4b2208f42140b7a2cb8fe0c6c7c136c79137365a82d8fa73,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,0.5173451949446874,0.449702693353763,0.6405985466592513,0.49705791198963184,240,0.0390133151689156,false,16.951356955936976,36.18239974975586,0.08493884399649687
F1,0,,30000,validation,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.314037465915532,1.5786643891277783,0.23778448608228447,1.383132087996608,240,0.05851997273936149,false,51.3893198285784,63.637020111083984,0.04676763602765277
F1,1,,30000,validation,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.2129153952418423,1.4527488104812833,0.2762135056929012,1.278689839726385,240,0.05851997273936149,false,42.170551027570454,55.74623107910156,0.04668955900706351
F1,2,,30000,validation,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.9897839130895412,1.1921325736432553,0.12799327254641588,1.0398137629408872,240,0.05851997273936149,false,39.465086936950684,55.79214859008789,0.04688521401840262
F1,3,,30000,validation,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.4165322964744762,1.7022617083766627,0.2495546892336288,1.4904017676670351,240,0.05851997273936149,false,46.468031202043804,50.95172119140625,0.046806077007204294
F1,4,,30000,validation,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.2016639979417665,1.4444030332193312,0.20641304602702965,1.2642742979517787,240,0.05851997273936149,false,41.82632786887033,58.15803909301758,0.04692827898543328
