time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,26.02686,25.49783
4,26.47247,25.83649
6,26.85999,26.15961
8,27.26947,26.46722
10,27.75882,26.7637
12,28.34564,27.05984
14,28.98611,27.36996
16,29.59848,27.70438
18,30.12726,28.05905
20,30.56506,28.4104
22,30.92841,28.72562
24,31.23627,28.98322
26,31.50269,29.18155
28,31.73636,29.33084
30,31.94241,29.44266
32,32.12433,29.52573
34,32.28528,29.5856
36,32.42896,29.62601
38,32.56,29.64981
40,32.68417,29.65985
42,32.8082,29.65906
44,32.93906,29.65073
46,33.08237,29.63846
48,33.24033,29.62598
50,33.40976,29.61703
52,33.58221,29.61554
54,33.74612,29.62543
56,33.89087,29.6507
58,34.00949,29.69516
60,34.09991,29.76151
62,34.16415,29.85056
64,34.20679,29.96011
66,34.23328,30.08475
68,34.24911,30.21664
70,34.25903,30.34729
72,34.26675,30.46942
74,34.27493,30.57809
76,34.28534,30.67105
78,34.29898,30.74814
80,34.31631,30.81064
82,34.3374,30.86044
84,34.36206,30.89969
86,34.39008,30.93036
88,34.42108,30.95419
90,34.45468,30.97263
92,34.49057,30.98679
94,34.52832,30.9975
96,34.56763,31.00549
98,34.60806,31.01132
100,34.64935,31.01532
102,34.69107,31.01788
104,34.73285,31.01932
106,34.77432,31.01996
108,34.81512,31.02008
110,34.85483,31.01999
112,34.89307,31.01999
114,34.92938,31.02039
116,34.96344,31.02139
118,34.99481,31.02328
120,35.02307,31.02625
122,35.04791,31.0304
124,35.06894,31.03586
126,35.08578,31.04272
128,35.09818,31.05093
130,35.10574,31.06058
132,35.10828,31.0715
134,35.10556,31.0838
136,35.09735,31.09732
138,35.08359,31.112
140,35.06412,31.12781
142,35.03894,31.14462
144,35.00812,31.16238
146,34.97165,31.18106
148,34.92972,31.2005
150,34.88254,31.2207
152,34.83035,31.24152
154,34.77341,31.26294
156,34.71207,31.28485
158,34.64661,31.30719
160,34.57751,31.32986
162,34.50507,31.35275
164,34.42969,31.37585
166,34.35172,31.39899
168,34.27151,31.42206
170,34.1893,31.44504
172,34.10544,31.46774
174,34.02011,31.49011
176,33.93356,31.51202
178,33.84592,31.53336
180,33.75735,31.55399
182,33.66797,31.57382
184,33.57779,31.59277
186,33.48694,31.61069
188,33.39539,31.6275
190,33.30322,31.64307
192,33.21042,31.65732
194,33.117,31.67014
196,33.02292,31.68143
198,32.92825,31.69116
200,32.83298,31.69919
