time_s,hot_temperature_c,cold_temperature_c
0,22,22
2,25.23181,25.67636
4,26.12048,25.91196
6,27.1651,26.29416
8,27.90668,26.80759
10,28.23785,27.34598
12,28.46051,27.75723
14,28.89102,27.96851
16,29.54968,28.1189
18,30.2583,28.39856
20,30.85883,28.80145
22,31.28708,29.20645
24,31.57202,29.53815
26,31.78439,29.76389
28,31.98944,29.88821
30,32.22702,29.94711
32,32.50729,29.98538
34,32.81485,30.03897
36,33.11902,30.12784
38,33.38882,30.25558
40,33.60468,30.41211
42,33.76224,30.57968
44,33.8692,30.73981
46,33.93887,30.87888
48,33.98529,30.99042
50,34.02017,31.07428
52,34.05191,31.13449
54,34.08594,31.17682
56,34.12515,31.20709
58,34.17068,31.23062
60,34.22266,31.2515
62,34.28052,31.27274
64,34.34348,31.29636
66,34.41068,31.32376
68,34.48135,31.35559
70,34.55475,31.39218
72,34.63034,31.4335
74,34.70767,31.47937
76,34.78644,31.52948
78,34.86636,31.58334
80,34.9473,31.64059
82,35.02914,31.70065
84,35.11176,31.76306
86,35.1951,31.82736
88,35.27902,31.89304
90,35.36353,31.95963
92,35.44843,32.02667
94,35.53354,32.09375
96,35.61871,32.16037
98,35.7037,32.2262
100,35.78809,32.29074
102,35.87149,32.35364
104,35.9534,32.4144
106,36.0332,32.47256
108,36.1102,32.52756
110,36.1835,32.5787
112,36.2522,32.62518
114,36.31512,32.66595
116,36.37094,32.69974
118,36.41815,32.72513
120,36.45508,32.74048
122,36.48004,32.74423
124,36.49167,32.7352
126,36.48935,32.71283
128,36.47412,32.67749
130,36.44958,32.63083
132,36.42273,32.57565
134,36.4039,32.51581
136,36.40613,32.45578
138,36.44348,32.40024
140,36.52881,32.35367
142,36.67203,32.32001
144,36.879,32.30243
146,37.15158,32.30356
148,37.48807,32.32516
150,37.88406,32.3685
152,38.33359,32.43439
154,38.82968,32.52313
156,39.36499,32.63483
158,39.93231,32.76932
160,40.52469,32.92624
162,41.13574,33.10507
164,41.75964,33.30515
166,42.39133,33.52573
168,43.02643,33.7659
170,43.66135,34.02478
172,44.29321,34.30136
174,44.91983,34.59467
176,45.53964,34.90363
178,46.15149,35.22714
180,46.7547,35.56409
182,47.34875,35.91327
184,47.93326,36.27344
186,48.50772,36.64325
188,49.07138,37.02112
190,49.62329,37.40533
192,50.16205,37.79401
194,50.68582,38.18494
196,51.19241,38.57578
198,51.67938,38.96396
200,52.14401,39.34671
