功率_瓦,时刻_秒,体积分残差V_瓦,界面双侧通量J_瓦,边界失配D_瓦,解释工程平衡_瓦,原工程平衡_瓦,工程解释剩余差_瓦,SiC体内积分残差_瓦,Cu外环积分残差_瓦,Cu下层积分残差_瓦,水冷边界最大温差_摄氏度
55.0,1.0,383.70754638597566,-27.96935141488521,118.54324516597896,293.13365263488186,293.1336526348819,5.684341886080802e-14,141.465868596193,249.17171999245187,-6.930042202669178,1.953269655017607
55.0,10.0,446.7439783976662,3.2497035980615294,176.1936992823928,267.3005755172119,267.30057551721256,6.821210263296962e-13,174.1198364152271,323.93670795838193,-51.31256597594287,1.51543895109171
55.0,50.0,534.113510401521,23.925600514187636,204.2058090172485,305.9821008700849,305.9821008700857,7.958078640513122e-13,205.98119386193144,333.4010782715204,-5.268761731930775,0.49366438609973784
55.0,100.0,415.36058647013647,-11.35111104893366,239.72396798823638,186.98772953083375,186.98772953083326,-4.831690603168681e-13,162.2890413456792,187.1284149352597,65.94313018919755,2.017883671987761
55.0,200.0,487.7701404824367,-57.94459640063204,160.10303531926576,385.61170156380297,385.61170156380473,1.7621459846850485e-12,-8.286984568437232,393.2329969304231,102.82412812045082,6.452374021365017
115.2,1.0,46.50783133964696,-25.423077294460825,-262.69005232897183,334.6209609630796,334.62096096307926,-3.410605131648481e-13,154.66444946045067,-114.1515299523117,5.9949118315079994,1.3519990867317233
115.2,10.0,127.53051928274309,0.8390033615161769,-191.57499665118416,318.26651257241105,318.26651257240985,-1.1937117960769683e-12,196.33946278684692,23.07997868065901,-91.88892218476283,1.0813332013395325
115.2,50.0,464.1154356703891,-35.60466859703922,-20.557251022328728,520.277355289757,520.2773552897575,4.547473508864641e-13,264.0496420560787,226.11965302507068,-26.05385941076026,1.0352335595341629
115.2,100.0,380.77671351760404,-59.725650147963734,10.268549109920684,430.2338145556471,430.23381455564737,2.8421709430404007e-13,241.74761728380597,97.49379942739448,41.535296806403615,1.1340922095158703
115.2,200.0,482.6955584261175,-28.26924761213752,-123.575467673748,634.540273712003,634.540273712007,3.979039320256561e-12,107.58650724070728,332.08352776554244,43.02552341986778,5.732120361593445
364.3,1.0,-627.6321470321948,211.4493153008487,-1492.2644935948433,653.1830312617999,653.183031261801,1.1368683772161603e-12,338.3278592667993,-962.1646133397917,-3.795392959202454,0.9658865152367184
364.3,10.0,-500.01037844084686,-33.66413092886751,-907.1209554902571,440.7747079782777,440.77470797827834,6.252776074688882e-13,384.48648124074265,-795.8275517613603,-88.66930792022924,1.0857277808531194
364.3,50.0,891.4821113999484,-237.29947563479368,-73.03830291521581,1201.819889949958,1201.8198899499566,-1.3642420526593924e-12,629.1990751343021,338.3077403655152,-76.02470409986893,2.0451060793483293
364.3,100.0,780.7808800769592,-145.91272298340596,-154.63297411072244,1081.3265771710876,1081.3265771710867,-9.094947017729282e-13,735.7266005915067,31.644073760854127,13.410205724598427,1.0479161076445394
364.3,200.0,699.9330192489499,-152.80327083174393,-693.6866261300405,1546.4229162107342,1546.4229162107406,6.366462912410498e-12,581.7939456451883,74.75521844706242,43.383855156699155,4.274762362606793
403.0,1.0,-577.2708634752616,242.37199269557425,-1565.3958356854223,745.7529795145864,745.7529795145883,1.9326762412674725e-12,396.07016784255666,-940.7272735127142,-32.613757805104065,1.161623336590253
403.0,10.0,-508.184825081808,-47.07259955766824,-920.8281192970023,459.71589377286256,459.71589377286324,6.821210263296962e-13,442.42104578597696,-866.8426165652218,-83.76325430256321,1.2963553923513018
403.0,50.0,892.2219349899275,-264.64992883087234,-86.19058244143639,1243.0624462622363,1243.0624462622343,-2.0463630789890885e-12,733.7223248203529,247.91688551633843,-89.41727534676382,2.1236749526098606
403.0,100.0,765.7355833593772,-154.39100041107213,-166.23983205649506,1086.3664158269444,1086.3664158269426,-1.8189894035458565e-12,839.6000907857224,-80.57250538520924,6.707997958864155,1.1140813524605733
403.0,200.0,841.1698067510064,-172.78767769304454,-711.8948124856886,1725.8522969297394,1725.8522969297455,6.139089236967266e-12,647.0205743647366,144.7097190982251,49.439513288044644,4.488435701823107
630.5,1.0,547.6846525639244,129.38307403779316,-1308.1419113562329,1726.443489882364,1726.443489882366,2.0463630789890885e-12,446.40308743000674,229.14034685790364,-127.85878172398606,1.5114009542869553
630.5,10.0,-81.93613010411144,-53.18740543089939,-757.0606233386497,728.3118986654376,728.3118986654395,1.8189894035458565e-12,796.4878075181015,-794.4562880449253,-83.96764957728766,1.666609776596033
630.5,50.0,651.8694590134016,-520.8394428544889,-69.47334516702063,1242.1822470349111,1242.1822470349953,8.412825991399586e-11,1210.4585445955197,-441.5972214456262,-116.99186413649176,1.3145026707447869
630.5,100.0,703.5505255172719,-149.60557229963388,-319.476135455996,1172.6322332729019,1172.6322332728098,-9.208633855450898e-11,1311.089183346138,-645.997457043485,38.45879921461895,0.9321760114035555
630.5,200.0,2271.0797792050225,-2.5888842954241227,-840.9634296205941,3114.6320931210407,3114.6320931210444,3.637978807091713e-12,1068.1794586273768,1055.1234235547765,147.776897022869,8.112789865109846
729.0,1.0,903.3887457143419,37.377905011239136,-1378.668605179282,2244.679445882385,2244.6794458823874,2.2737367544323206e-12,331.21754118077365,671.4514812590107,-99.28027672544249,0.5517801284635198
729.0,10.0,271.12388102369886,26.323259967712602,-664.4844035375623,909.2850245935485,909.2850245935497,1.1368683772161603e-12,941.0531140611085,-752.9766537576529,83.04742072024322,0.424592976589679
729.0,50.0,469.95027632424024,-554.8597971830154,-334.79129012129306,1359.6013636285488,1359.6013636288558,3.069544618483633e-10,1417.666537441557,-792.6178133790374,-155.09844773827933,1.4509861785570592
